,nav
2006-01-31,1000000.0
2006-02-28,1000000.0
2006-03-31,1000000.0
2006-04-28,1000000.0
2006-05-31,1000000.0
2006-06-30,1000000.0
2006-07-31,1000000.0
2006-08-31,1000000.0
2006-09-29,1000000.0
2006-10-31,1000000.0
2006-11-30,1000000.0
2006-12-29,1000000.0
2007-01-31,1000000.0
2007-02-28,923560.0067332232
2007-03-30,916284.1680776196
2007-04-30,1020989.8640550267
2007-05-31,1134573.0724685467
2007-06-29,1215817.692141514
2007-07-31,1273616.6187784504
2007-08-31,1214322.9501885213
2007-09-28,1460056.146492953
2007-10-31,1786735.682236493
2007-11-30,1904592.1812644885
2007-12-31,2168631.2120072893
2008-01-31,1667166.2380006178
2008-02-29,1614858.1320645306
2008-03-31,1322315.5677416339
2008-04-30,1516787.754023941
2008-05-30,1432628.7431677526
2008-06-30,4692106.607091024
2008-07-31,5028322.137930461
2008-08-29,4957961.1758229
2008-09-30,3963339.1498609073
2008-10-31,2965937.8148920015
2008-11-28,2738861.768688956
2008-12-31,2831343.651465385
2009-01-30,2833532.70602826
2009-02-27,2823007.594646748
2009-03-31,2916145.912069876
2009-04-30,3016004.6465359377
2009-05-29,3643432.3656097082
2009-06-30,3669321.739595184
2009-07-31,4119701.3218006627
2009-08-31,4196876.072983152
2009-09-30,4807745.594691499
2009-10-30,4650358.592513487
2009-11-30,5213189.916264239
2009-12-31,5561755.958013589
2010-01-29,5326826.703730832
2010-02-26,5341787.944077127
2010-03-31,5844701.244234554
2010-04-30,6494034.988943383
2010-05-31,6218358.42469944
2010-06-30,6901722.066495063
2010-07-30,7372817.5509217605
2010-08-31,7696106.620624229
2010-09-30,8251769.990924503
2010-10-29,8541537.737278167
2010-11-30,8176092.21981807
2010-12-31,8110142.155002401
2011-01-31,7226531.793848828
2011-02-28,6886660.319047694
2011-03-31,7500135.782553363
2011-04-29,7783240.2683907095
2011-05-31,7701855.342935864
2011-06-30,8115045.683017271
2011-07-29,8662175.693527596
2011-08-30,8352666.789615393
2011-09-30,8206207.09814476
2011-10-31,8461029.077542663
2011-11-30,7891250.9338397
2011-12-30,7343849.9576692805
2012-01-31,8196760.223304239
2012-02-29,9044135.262970544
2012-03-30,9523499.391880656
2012-04-30,10134854.72822995
2012-05-31,9910562.12173973
2012-06-29,10037620.049486246
2012-07-31,10312258.908988046
2012-08-31,10804860.559546448
2012-09-28,11632449.446482955
2012-10-31,11884609.732325029
2012-11-30,12589797.6221153
2012-12-31,12343649.434213597
2013-01-31,12501592.478355004
2013-02-28,11860837.818790415
2013-03-28,11698525.190717353
2013-04-30,12196200.17429491
2013-05-31,12594208.843297353
2013-06-28,12302042.247065216
2013-07-31,12178562.311717166
2013-08-30,11737390.220549457
2013-09-30,12733188.78829751
2013-10-31,14070200.900876723
2013-11-29,14476229.595309896
2013-12-31,15374836.314797862
2014-01-31,15186964.559763944
2014-02-28,16286953.427650495
2014-03-31,16318439.845790287
2014-04-30,17230921.98038474
2014-05-30,19534657.06781951
2014-06-30,24412411.18827419
2014-07-31,23866348.96993909
2014-08-28,25463229.59611124
2014-09-30,28664348.117720596
2014-10-31,30100842.795131173
2014-11-28,31973490.35975063
2014-12-31,32421221.461059574
2015-01-30,34980138.11866038
2015-02-27,34138904.94096525
2015-03-31,35520151.666692965
2015-04-30,35308408.62306861
2015-05-29,36353363.01353712
2015-06-30,36706754.23455819
2015-07-31,41027690.23359808
2015-08-31,37865760.481644385
2015-09-30,38528885.61332475
2015-10-30,38053905.09529045
2015-11-30,40083124.35456968
2015-12-31,41115609.39324529
2016-01-29,37115737.390588865
2016-02-29,30275793.75319904
2016-03-31,36094624.00264022
2016-04-29,37946881.19378738
2016-05-31,38042332.248268954
2016-06-30,39598798.65891245
2016-07-29,41603920.19579835
2016-08-31,42175687.46176938
2016-09-30,42796069.848021224
