,top_5,top_10,top_20,top_50
2006-01-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-02-28,1000000.0,1000000.0,1000000.0,1000000.0
2006-03-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-04-28,1000000.0,1000000.0,1000000.0,1000000.0
2006-05-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-06-30,1000000.0,1000000.0,1000000.0,1000000.0
2006-07-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-08-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-09-29,1000000.0,1000000.0,1000000.0,1000000.0
2006-10-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-11-30,1000000.0,1000000.0,1000000.0,1000000.0
2006-12-29,1000000.0,1000000.0,1000000.0,1000000.0
2007-01-31,1000000.0,1000000.0,1000000.0,1000000.0
2007-02-28,923253.6359456236,914097.0371711486,923560.0067332232,924736.4513040016
2007-03-30,888821.1177046184,913843.8468501023,916284.1680776196,916168.8594243556
2007-04-30,991275.4072901395,1028851.664271039,1020989.8640550267,1013712.349365927
2007-05-31,1051883.4497746658,1184198.4260077865,1134573.0724685467,1100249.6283119335
2007-06-29,1125987.9009816146,1262594.4097094848,1215817.692141514,1270925.694911444
2007-07-31,1264663.4812971451,1344476.8144142018,1273616.6187784504,1343017.7807975723
2007-08-31,1286557.1854264045,1313299.6842788088,1214322.9501885213,1305050.5890527845
2007-09-28,1538770.214024543,1527631.299409821,1460056.146492953,1543446.1944503402
2007-10-31,1754528.6079981918,1734140.983832107,1786735.682236493,1799035.916145721
2007-11-30,1789099.6626208038,1815765.0978419716,1904592.1812644885,1945054.6106381535
2007-12-31,1886051.8975288114,2087644.5302608295,2168631.2120072893,2193326.8120389353
2008-01-31,1503314.1650572126,1603328.8510257525,1667166.2380006178,1701957.6031376494
2008-02-29,1504602.6663993206,1536634.3765472835,1614858.1320645306,1668133.2038666054
2008-03-31,1322096.362335651,1343859.3306260519,1322315.5677416339,1384394.7384737206
2008-04-30,1407595.4261069912,1489685.256185751,1516787.754023941,1586951.5526481858
2008-05-30,1289724.6517446283,1424858.0451499221,1432628.7431677526,1510381.446418983
2008-06-30,1092027.705853107,1160655.95183209,4692106.607091024,2717841.779194241
2008-07-31,1136236.2223508423,1195901.3320191086,5028322.137930461,2921885.9173100884
2008-08-29,1136495.9305193655,1188420.2736182942,4957961.1758229,2912660.894438525
2008-09-30,853236.3374667593,917275.6967258658,3963339.1498609073,2458617.723277064
2008-10-31,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2008-11-28,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2008-12-31,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-01-30,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-02-27,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-03-31,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-04-30,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-05-29,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-06-30,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-07-31,852383.1011292925,916358.42102914,3959375.810711046,2456159.105553787
2009-08-31,865532.8692751531,913592.7048981293,4037584.7538137315,2496304.9085959424
2009-09-30,949010.6904793875,1046375.6045129886,4625268.884707297,2765055.2245857525
2009-10-30,884883.7980511014,993604.9239283634,4473855.464489077,2677931.401292302
2009-11-30,928997.5246659456,1078333.4028252712,5015324.674498308,2970402.6338418075
2009-12-31,1024303.8845669948,1155424.0094031114,5350660.984503769,3175220.3004033966
2010-01-29,925497.9493216177,1064254.3800854746,5124648.407810588,3089072.125713463
2010-02-26,941977.2978956321,1054290.1820936138,5139041.798244298,3086871.605615652
2010-03-31,1028903.8190242541,1149570.5817856584,5622867.157367293,3353176.4562018625
2010-04-30,1101647.4612892547,1250590.5695531678,6247555.611870453,3629140.531220273
2010-05-31,1142952.8787938524,1246419.6989056214,5982342.278567541,3506843.59912748
2010-06-30,1538914.0611183904,1478382.7972266262,6639769.034431564,3782687.118795933
2010-07-30,1547583.359851537,1567464.8907439518,7092984.214588099,3972625.5572931156
2010-08-31,1620970.8749156448,1614818.3017740333,7404002.933322269,4237331.1985395
2010-09-30,1786629.0401788105,1764375.3785063943,7938576.247654713,4542461.692227146
2010-10-29,1803275.9048202857,1835401.8405819829,8217345.935984562,4691522.381826356
2010-11-30,1734385.3359203823,1757333.8232767133,7865770.806295863,4567486.543038233
2010-12-31,1727714.3742784683,1732722.9650910306,7802323.858713374,4541424.5595972985
2011-01-31,1535505.3151985914,1537352.4768871733,6952250.694658853,4083993.3550294703
