,A,B,C,D
2006-01-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-02-28,1000000.0,1000000.0,1000000.0,1000000.0
2006-03-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-04-28,1000000.0,1000000.0,1000000.0,1000000.0
2006-05-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-06-30,1000000.0,1000000.0,1000000.0,1000000.0
2006-07-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-08-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-09-29,1000000.0,1000000.0,1000000.0,1000000.0
2006-10-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-11-30,1000000.0,1000000.0,1000000.0,1000000.0
2006-12-29,1000000.0,1000000.0,1000000.0,1000000.0
2007-01-31,1000000.0,1000000.0,1000000.0,1000000.0
2007-02-28,924736.4513040016,1000000.0,924736.4513040016,1000000.0
2007-03-30,916168.8594243556,1000000.0,919039.2948174418,1000000.0
2007-04-30,1013712.349365927,1000000.0,1020354.3537353913,1000000.0
2007-05-31,1100249.6283119335,1000000.0,1107458.6386819077,1000000.0
2007-06-29,1270925.694911444,1000000.0,1279253.0019864228,1000000.0
2007-07-31,1343017.7807975723,1000000.0,1351817.4466731106,1000000.0
2007-08-31,1305050.5890527845,1000000.0,1314722.6012757167,1000000.0
2007-09-28,1543446.1944503402,1000000.0,1553248.5285821594,1000000.0
2007-10-31,1799035.916145721,1000000.0,1807330.580546883,1000000.0
2007-11-30,1945054.6106381535,1000000.0,1953063.8126369186,1000000.0
2007-12-31,2193326.8120389353,1000000.0,2202358.330943776,1000000.0
2008-01-31,1701957.6031376494,1000000.0,1708965.7982609677,1000000.0
2008-02-29,1668133.2038666054,1000000.0,1669212.3569758737,1000000.0
2008-03-31,1384394.7384737206,1000000.0,1374786.1118121645,1000000.0
2008-04-30,1586951.5526481858,1000000.0,1473052.6907998752,1000000.0
2008-05-30,1510381.446418983,1000000.0,1430371.3794557138,1000000.0
2008-06-30,2717841.779194241,1000000.0,2619194.228007964,1000000.0
2008-07-31,2921885.9173100884,1000000.0,2649495.3804151756,1000000.0
2008-08-29,2912660.894438525,1000000.0,2647521.9772339268,1000000.0
2008-09-30,2458617.723277064,1000000.0,2474068.571710854,1000000.0
2008-10-31,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2008-11-28,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2008-12-31,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2009-01-30,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2009-02-27,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2009-03-31,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2009-04-30,2456159.105553787,1000000.0,2472439.4360883534,1000000.0
2009-05-29,2456159.105553787,1193740.0956874557,2472439.4360883534,1205713.4252080598
2009-06-30,2456159.105553787,1229054.7175905858,2472439.4360883534,1241382.2562112014
2009-07-31,2456159.105553787,1349067.1990520728,2472439.4360883534,1362598.474560069
2009-08-31,2496304.9085959424,1369746.5202238606,2512851.34035401,1383485.2113389443
2009-09-30,2765055.2245857525,1517212.40424648,2783383.0327887293,1532430.1925526762
2009-10-30,2677931.401292302,1469406.724189581,2695681.720586905,1484145.016864906
2009-11-30,2970402.6338418075,1629888.5033467587,2990091.5605853302,1646236.443910131
2009-12-31,3175220.3004033966,1742273.9275339437,3196266.8343570554,1759749.1048567817
2010-01-29,3089072.125713463,1695003.5952524813,3109547.637718369,1712004.6465348187
2010-02-26,3086871.605615652,1693796.148703673,3107332.53175987,1710785.089179429
2010-03-31,3353176.4562018625,1839920.182331585,3112370.9728024607,1713559.07288419
2010-04-30,3629140.531220273,1991344.325336565,3124308.6433161553,1720131.5232111583
2010-05-31,3506843.59912748,1924238.822082005,3111267.6406957516,1712951.6180665037
2010-06-30,3782687.118795933,2075596.815206604,3108128.094020658,1711223.0970332269
2010-07-30,3972625.5572931156,2179817.8638022263,3116313.6179847117,1715729.7509563884
2010-08-31,4237331.1985395,2325064.395879429,3125595.4250345393,1720839.9787608432
2010-09-30,4542461.692227146,2492492.4334174865,3125259.0158944423,1720654.7640357185
2010-10-29,4691522.381826356,2574283.467909154,3129356.211170872,1722910.5318091155
2010-11-30,4567486.543038233,2506223.809820896,3123201.3488755305,1719521.8868754948
2010-12-31,4541424.5595972985,2491923.348765267,3130523.680875823,1723553.298472446
2011-01-31,4083993.3550294703,2240926.445886521,2809043.714968354,1546558.0375780747
2011-02-28,3895969.5268221726,2238685.5194406356,2648278.013001638,1545011.4795404973
2011-03-31,4224728.012238582,2238685.5194406356,2784660.5780214197,1545011.4795404973
2011-04-29,4419200.182090729,2344080.501519962,2871769.1017711097,1594725.7610772671
