,A,B,C
2006-01-31,1000000.0,1000000.0,1000000.0
2006-02-28,1000000.0,1000000.0,1000000.0
2006-03-31,1000000.0,1000000.0,1000000.0
2006-04-28,1000000.0,1000000.0,1000000.0
2006-05-31,1000000.0,1000000.0,1000000.0
2006-06-30,1000000.0,1000000.0,1000000.0
2006-07-31,1000000.0,1000000.0,1000000.0
2006-08-31,1000000.0,1000000.0,1000000.0
2006-09-29,1000000.0,1000000.0,1000000.0
2006-10-31,1000000.0,1000000.0,1000000.0
2006-11-30,1000000.0,1000000.0,1000000.0
2006-12-29,1000000.0,1000000.0,1000000.0
2007-01-31,1000000.0,1000000.0,1000000.0
2007-02-28,924736.4513040016,1000000.0,1000000.0
2007-03-30,916168.8594243556,1000000.0,1000000.0
2007-04-30,1013712.349365927,1000000.0,1000000.0
2007-05-31,1100249.6283119335,1000000.0,1000000.0
2007-06-29,1270925.694911444,1000000.0,1000000.0
2007-07-31,1343017.7807975723,1000000.0,1000000.0
2007-08-31,1305050.5890527845,1000000.0,1000000.0
2007-09-28,1543446.1944503402,1000000.0,1000000.0
2007-10-31,1799035.916145721,1000000.0,1000000.0
2007-11-30,1945054.6106381535,1000000.0,1000000.0
2007-12-31,2193326.8120389353,1000000.0,1000000.0
2008-01-31,1701957.6031376494,1000000.0,1000000.0
2008-02-29,1668133.2038666054,1000000.0,1000000.0
2008-03-31,1384394.7384737206,1000000.0,1000000.0
2008-04-30,1586951.5526481858,1000000.0,1000000.0
2008-05-30,1510381.446418983,1000000.0,1000000.0
2008-06-30,2717841.779194241,1000000.0,1000000.0
2008-07-31,2921885.9173100884,1000000.0,1000000.0
2008-08-29,2912660.894438525,1000000.0,1000000.0
2008-09-30,2458617.723277064,1000000.0,1000000.0
2008-10-31,2456159.105553787,1000000.0,1000000.0
2008-11-28,2456159.105553787,1000000.0,1000000.0
2008-12-31,2456159.105553787,1000000.0,1000000.0
2009-01-30,2456159.105553787,1000000.0,1000000.0
2009-02-27,2456159.105553787,1000000.0,1000000.0
2009-03-31,2456159.105553787,1000000.0,1000000.0
2009-04-30,2456159.105553787,1083199.247185815,1000000.0
2009-05-29,2456159.105553787,1291765.3146111905,1193740.0956874557
2009-06-30,2456159.105553787,1329979.8336994534,1229054.7175905858
2009-07-31,2456159.105553787,1459847.2658418652,1349067.1990520728
2009-08-31,2496304.9085959424,1482224.6911423344,1369746.5202238606
