,LiqFund,ME_cap3pct,Daily_cap3pct,Daily_cap5pct,NoCap
2006-01-31,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2006-02-28,1004476.507023349,1004476.507023349,1004479.9487368197,1004479.9487368197,1004479.9487368197
2006-03-31,1009456.0182401448,1009456.0182401448,1009463.3063873096,1009463.3063873096,1009463.3063873096
2006-04-28,1013974.8551955587,1013974.8551955587,1013985.6502516252,1013985.6502516252,1013985.6502516252
2006-05-31,1019326.6037392461,1019326.6037392461,1019341.5720898251,1019341.5720898251,1019341.5720898251
2006-06-30,1024216.3371747768,1024216.3371747768,1024235.1374019169,1024235.1374019169,1024235.1374019169
2006-07-31,1029293.7050412497,1029293.7050412497,1029316.5031517171,1029316.5031517171,1029316.5031517171
2006-08-31,1034396.2430436752,1034396.2430436752,1034423.0782279116,1034423.0782279116,1034423.0782279116
2006-09-29,1039192.482268365,1039192.482268365,1039223.1298065851,1039223.1298065851,1039223.1298065851
2006-10-31,1044510.69713818,1044510.69713818,1044545.5917961549,1044545.5917961549,1044545.5917961549
2006-11-30,1049521.2392557214,1049521.2392557214,1049560.154347972,1049560.154347972,1049560.154347972
2006-12-29,1054387.6093423448,1054387.6093423448,1054430.4467668354,1054430.4467668354,1054430.4467668354
2007-01-31,1059952.6559742868,1059952.6559742868,1059999.9999999604,1059999.9999999604,1059999.9999999604
2007-02-28,1064697.5414831731,1088587.4290516626,1088638.418841776,1088638.418841776,1088638.418841776
2007-03-30,1069804.9203627391,1102551.8185364266,1102606.067644112,1102606.067644112,1102606.067644112
2007-04-30,1075108.2854125758,1096454.8434958062,1093718.7031270512,1087061.275231034,1074031.0355198074
2007-05-31,1080437.9409386632,1090391.5839722443,1083556.1070406477,1072073.3692726735,1060364.4376029728
2007-06-29,1085447.6641148853,1084117.1727443526,1070981.6319667855,1055035.4897660413,1046870.3499341944
2007-07-31,1091002.5964360863,1084124.6517764973,1063337.040191031,1055045.4622252872,1046880.245214497
2007-08-31,1096411.045143967,1094180.6057122005,1073202.8055969318,1064834.2974012017,1056593.3225521422
2007-09-28,1101319.1368880314,1087761.6552771889,1062666.571364579,1049363.9770816152,1038709.5231673328
2007-10-31,1107131.8876251676,1081990.6365246696,1049957.8784855874,1040586.8913794715,1030021.5534031834
2007-11-30,1112442.8250505268,1075885.954777143,1039405.5061025863,1021257.8378579641,1017207.2933949155
2007-12-31,1117957.5598269512,1069936.4386613946,1030376.402131779,1008042.9252740535,980634.9391686186
2008-01-31,1123499.6329069447,1133707.3232460823,1091791.9581392375,1068127.2950315562,1039085.6566974529
2008-02-29,1128709.0224851754,1127183.6614142428,1084748.8328409565,1049207.733834154,1025705.6259136904
2008-03-31,1134304.3940032402,1166317.2210005727,1122411.8230583675,1085636.7203599424,1061318.6081867903
2008-04-30,1139745.6785739367,1159736.761604235,1113956.3203104746,1065866.8089168088,1017925.9441638101
2008-05-30,1145213.0651133251,1182841.9309264414,1136152.0822174675,1087104.3794426352,1038208.2851171014
2008-06-30,1150890.252447703,1240892.651434756,1191914.1997829035,1140459.2455394943,1089163.3406578337
