,A,B
2006-01-31,1000000.0,1000000.0
2006-02-28,1004476.507023349,1004476.507023349
2006-03-31,1009456.0182401448,1009456.0182401448
2006-04-28,1013974.8551955587,1013974.8551955587
2006-05-31,1019326.6037392461,1019326.6037392461
2006-06-30,1024216.3371747768,1024216.3371747768
2006-07-31,1029293.7050412497,1029293.7050412497
2006-08-31,1034396.2430436752,1034396.2430436752
2006-09-29,1039192.482268365,1039192.482268365
2006-10-31,1044510.69713818,1044510.69713818
2006-11-30,1049521.2392557214,1049521.2392557214
2006-12-29,1054387.6093423448,1054387.6093423448
2007-01-31,1059952.6559742868,1059952.6559742868
2007-02-28,1064697.5414831731,1088587.4290516626
2007-03-30,1069804.9203627391,1102551.8185364266
2007-04-30,1075108.2854125758,1073975.465389506
2007-05-31,1080437.9409386632,1060306.9183199976
2007-06-29,1085447.6641148853,1046811.1102177483
2007-07-31,1091002.5964360863,1046818.3318854237
2007-08-31,1096411.045143967,1056528.2456921432
2007-09-28,1101319.1368880314,1038643.1887850662
2007-10-31,1107131.8876251676,1029953.0383068657
2007-11-30,1112442.8250505268,1017137.1658980617
2007-12-31,1117957.5598269512,980564.8173324434
2008-01-31,1123499.6329069447,1039008.9300239845
2008-02-29,1128709.0224851754,1025627.4840721844
2008-03-31,1134304.3940032402,1061235.2165431806
2008-04-30,1139745.6785739367,1017843.4223964349
2008-05-30,1145213.0651133251,1038121.6832885297
2008-06-30,1150890.252447703,1089069.92084636
2008-07-31,1156595.583414922,1067881.0836348664
2008-08-29,1161958.4307198918,1055379.5874443206
2008-09-30,1167904.9177372658,1104793.5226746174
2008-10-31,1173694.595840597,1218761.4605888615
2008-11-28,1178948.6479421442,1272591.9713199723
2008-12-31,1185171.1264162182,1187871.9204734452
2009-01-30,1190856.4198858521,1217542.853432801
2009-02-27,1196187.2970132714,1246387.3799368357
2009-03-31,1202308.9551070384,1204229.823309546
2009-04-30,1307442.1585940984,1309530.9927979803
2009-05-29,1956038.4834552044,1959163.5472000847
2009-06-30,1986187.4447841696,1989360.6759995755
2009-07-31,1947333.3289058942,1950444.4848656747
2009-08-31,1973250.722806855,1976403.285675921
2009-09-30,2191668.5370136504,2195170.054976487
2009-10-30,2112288.9407529356,2115663.637949997
2009-11-30,2341303.622193847,2345044.204563449
2009-12-31,2499118.371595888,2503111.08660804
2010-01-29,2419390.259188434,2423255.5966281956
2010-02-26,2427790.455999238,2420441.5442784447
2010-03-31,2440604.3083060253,2404853.4992017173
2010-04-30,2652692.203566871,2613834.658220641
2010-05-31,2591937.800349297,2553970.206341872
2010-06-30,2601767.0148997367,2524276.3705264647
2010-07-30,2727426.892029484,2646193.612441419
2010-08-31,2879962.045872822,2794185.6817990188
2010-09-30,3080257.899987189,2988515.95378719
2010-10-29,3178141.9669564967,3083484.6561677824
2010-11-30,3082328.9225151218,2990525.2932861336
2010-12-31,3070412.8037701882,2978964.082461351
2011-01-31,2727360.3165922137,2646129.0198771404
2011-02-28,2736829.794840438,2678940.479012285
2011-03-31,2750397.135207864,2611531.160522867
2011-04-29,2856659.7429659893,2712428.630130577
2011-05-31,2830342.121847071,2687439.77061531
2011-06-30,2841075.4195222813,2726234.1607151194
2011-07-29,3001472.587198762,2880147.7931364304
2011-08-30,3013816.215678527,2971067.4621696523
2011-09-30,3028756.6662977305,2992434.479007864
2011-10-31,3043771.1815077155,2965513.4518309333
2011-11-30,2819163.4951472785,2746680.604167083
2011-12-30,2829854.4009409444,2829617.487468024
2012-01-31,2844336.5820683953,2597422.749741728
2012-02-29,3175423.8964889576,2899768.7266730126
2012-03-30,3299837.5833730963,3013382.1937744026
2012-04-30,3478324.6505728606,3176374.988580079
2012-05-31,3418852.2807274326,3122065.35188257
2012-06-29,3431269.9474683064,3043667.7094996134
2012-07-31,3520506.2563433056,3122823.7292812015
2012-08-31,3668903.8409623657,3254458.0639117467
2012-09-28,3950329.8432344077,3504093.6941136145
2012-10-31,4060671.0670031784,3601970.5807921127
2012-11-30,4257030.531631451,3776148.9378125737
2012-12-31,4322170.729016006,3833930.784885281
2013-01-31,4334016.4420071915,3844438.3854760984
2013-02-28,4106528.66091802,3642648.020915101
2013-03-28,4120786.6537448945,3737018.301706653
2013-04-30,4142536.1220478066,3685657.75551901
2013-05-31,4272812.724737587,3801566.212782841
2013-06-28,4142828.24589105,3685917.661160555
2013-07-31,4160529.3554343157,3786065.0347301876
2013-08-30,4180487.5115583153,3748129.5419181013
2013-09-30,4201211.524822864,3668194.2251793416
2013-10-31,4222038.273647464,3503170.7601042003
2013-11-29,4346291.478911058,3606267.9296029992
2013-12-31,4639383.879247632,3849456.801972178
2014-01-31,4582204.448052313,3802013.055975584
2014-02-28,4598114.001727993,3776694.062423883
2014-03-31,4676574.757792452,3841138.369687813
2014-04-30,5013943.0624145735,4118238.257258574
2014-05-30,5613901.096049397,4611018.110581181
2014-06-30,6808337.921934586,5592077.402840083
2014-07-31,6803980.528613394,5588498.42644289
2014-08-28,7409078.634586527,6085500.115212209
2014-09-30,8423529.231099097,6918726.421265423
2014-10-31,8855308.407139296,7273371.358258389
2014-11-28,9063579.50355562,7444436.323788703
2014-12-31,8995344.549950356,7388391.053046404
2015-01-30,9729612.40189435,7991487.24327211
2015-02-27,10108559.135041468,8302737.8726635985
2015-03-31,10441827.437848935,8576470.19420544
2015-04-30,10481425.209898662,8664627.498602452
2015-05-29,10530024.983013118,8653728.629001131
2015-06-30,10583913.878862273,8782271.727346515
2015-07-31,10636381.724062132,8762553.268884426
2015-08-31,10069696.201927042,8295701.645537657
2015-09-30,10107882.768137528,8299092.488929272
2015-10-30,10156370.516963545,8104182.702241599
2015-11-30,10206718.893015688,8131048.332860599
2015-12-31,10257316.86206632,8127266.795319889
2016-01-29,10304877.500269292,8461177.11365745
2016-02-29,10355962.072921328,8699883.350477766
2016-03-31,10407299.88813379,8233463.632325019
2016-04-29,10866763.962125465,8596956.640524356
2016-05-31,10890494.98003328,8615730.815863036
2016-06-30,11362622.450737625,8989242.139803834
2016-07-29,12031330.29005654,9518272.890802048
2016-08-31,12518185.216566147,9903435.456954828
2016-09-30,12690260.947586885,10039568.679653665
2016-10-28,13607056.343999503,10764867.425320903
2016-11-30,12401276.20813596,9810945.946750663
2016-12-30,12448304.653236998,9869705.466833066
2017-01-31,12512010.617281623,9748114.979455363
2017-02-28,13311677.08872676,10371135.607178917
2017-03-31,14117394.886556478,10998870.826919643
2017-04-28,15529286.830573795,12098876.687675359
2017-05-31,15424714.829639142,12017404.57900127
2017-06-30,15663415.841477266,12203376.680551145
2017-07-31,16996238.60490629,13241779.695266962
2017-08-31,18799169.53976757,14646444.26842277
2017-09-29,20673662.68307605,16106863.001118958
2017-10-31,23886318.010029398,18609844.694024928
2017-11-30,24608712.33699445,19172662.547618747
2017-12-29,27129299.576476187,21136453.578316767
2018-01-31,28846597.5113528,22474401.429802503
2018-02-28,28239754.601716302,22001609.754783187
2018-03-28,27069390.03012793,21089778.014809556
2018-04-30,27185049.72195028,20753739.884494472
2018-05-31,27569694.42111171,21047387.16915992
2018-06-29,26289566.931391753,20070106.155795157
2018-07-31,28590373.741161298,21826599.027532503
2018-08-31,30597670.54706242,23359019.096899208
2018-09-28,26003204.564050876,19851490.036079116
2018-10-31,26114308.753060102,19654160.405008722
2018-11-30,26239579.699768636,19637521.293129142
2018-12-31,26369657.686187852,19366515.796659205
2019-01-31,26500380.510776907,19840137.70481135
2019-02-28,26386519.674438987,19754893.092145856
2019-03-28,27886389.247632645,20877805.98237087
2019-04-30,27669498.46472119,20715425.55926266
2019-05-31,28143924.04033134,21070615.506326344
2019-06-28,27924646.060095202,20906447.851384602
2019-07-31,25990267.418001495,19458229.452528846
2019-08-30,26088828.392204054,19600460.75843321
2019-09-30,26218159.056190427,19354644.468260266
2019-10-31,27097660.1390571,20003905.567479786
2019-11-29,27602123.771008205,20376308.306461405
2019-12-31,28475476.583696928,21021030.658962127
2020-01-31,30231132.080120213,22317082.295127515
2020-02-28,28791157.541465104,21254071.151618704
2020-03-31,28909561.87196272,23155827.723532625
2020-04-30,29048241.71292176,21763943.414547928
2020-05-29,29182931.216338586,21804018.253249124
2020-06-30,29332279.00453731,20278192.141895674
2020-07-31,31021180.80778405,21445775.310927097
2020-08-31,33805338.92951663,23370538.584083583
2020-09-30,39551677.02381711,27343136.41633847
2020-10-30,40996130.890464455,28341726.162585195
2020-11-27,46138338.01204728,31896672.030540086
2020-12-31,48980932.86632378,33861834.18611846
2021-01-29,50539189.82459838,34939099.065586254
2021-02-26,58870750.422004335,40698930.63577929
2021-03-31,62505106.55304875,43211458.6233249
2021-04-30,66484581.74812081,45962576.68738994
2021-05-31,73513930.95477773,50822154.55459294
2021-06-30,81081895.24673265,56054091.493810184
2021-07-30,85170605.24923229,58880726.5135559
2021-08-31,85914902.59172647,59395279.25320035
2021-09-30,92575297.58691989,63999789.16641098
2021-10-29,98918697.91891414,68385152.15662551
2021-11-30,108494510.90883502,75005168.81794377
2021-12-31,108923320.53657316,75197540.71829103
2022-01-31,109463288.2636331,75398305.24211927
2022-02-28,109953301.44234413,77484932.15335372
2022-03-31,110498375.11408025,77473877.44689149
2022-04-29,111958154.74501167,78497374.74365705
2022-05-31,112418585.35941966,79450777.36974101
2022-06-30,112957859.92911159,81342646.0343439
2022-07-29,113481617.55310959,78950900.14718595
2022-08-30,124710747.52385202,86763177.92552261
2022-09-30,121222904.3426786,84336631.98210591
2022-10-31,126102559.71206819,87731482.99082592
2022-11-30,131172499.52639617,91258717.80351202
2022-12-30,129482482.35079199,90082946.95925424
2023-01-31,125902180.71562271,87592076.2527033
2023-02-28,126339316.92913935,87789924.42961812
2023-03-31,126965621.31891075,89184902.95053722
2023-04-28,127533983.81446873,87362435.16272655
2023-05-31,136395692.6489379,93432820.79898584
2023-06-30,152016767.45434353,104133459.90741865
2023-07-31,174885907.4525268,119799117.80159286
2023-08-31,200271972.4808775,137188902.02806535
2023-09-29,214050575.98130316,146627424.36490393
2023-10-31,211327211.63608456,144761884.42082307
2023-11-30,212128612.23421517,142121456.82767028
2023-12-29,226068794.7133092,151461069.34625363
2024-01-31,262157899.75660458,175639967.8472108
2024-02-29,262132340.9553729,175622844.0182865
2024-03-28,253269760.91002333,169685112.30906188
2024-04-30,292413674.9271535,195910664.9464835
2024-05-31,308007857.5824594,206358420.8322469
2024-06-28,333729409.6043167,223591289.16958782
2024-07-31,360548202.8895775,241559284.77337274
2024-08-30,358139662.3476985,239945616.12662554
2024-09-30,355755170.1395693,238348059.3291514
2024-10-31,342973042.78842235,229784318.0150092
2024-11-29,344218760.53132033,230675611.38308647
2024-12-31,345980348.8433634,233664765.8869151
2025-01-31,347695484.0563927,230279431.36353716
2025-02-28,349251945.3327579,238050267.36492193
2025-03-28,350815374.1189583,234217923.09929544
2025-04-30,349109475.1091609,233078998.88853264
