,A) ,B) ,C) ,D) 
2006-01-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-02-28,1004476.507023349,1004476.507023349,1004476.507023349,1004476.507023349
2006-03-31,1009456.0182401448,1009456.0182401448,1009456.0182401448,1009456.0182401448
2006-04-28,1013974.8551955587,1013974.8551955587,1013974.8551955587,1013974.8551955587
2006-05-31,1019326.6037392461,1019326.6037392461,1019326.6037392461,1019326.6037392461
2006-06-30,1024216.3371747768,1024216.3371747768,1024216.3371747768,1024216.3371747768
2006-07-31,1029293.7050412497,1029293.7050412497,1029293.7050412497,1029293.7050412497
2006-08-31,1034396.2430436752,1034396.2430436752,1034396.2430436752,1034396.2430436752
2006-09-29,1039192.482268365,1039192.482268365,1039192.482268365,1039192.482268365
2006-10-31,1044510.69713818,1044510.69713818,1044510.69713818,1044510.69713818
2006-11-30,1049521.2392557214,1049521.2392557214,1049521.2392557214,1049521.2392557214
2006-12-29,1054387.6093423448,1054387.6093423448,1054387.6093423448,1054387.6093423448
2007-01-31,1059952.6559742868,1059952.6559742868,1059952.6559742868,1059952.6559742868
2007-02-28,1064697.5414831731,1095541.7192984212,1101260.0781074073,1105601.7830115894
2007-03-30,1069804.9203627391,1104864.090925041,1114589.5030404786,1123136.7057753503
2007-04-30,1075108.2854125758,1089712.0972305092,1097021.8028829305,1102177.9711775912
2007-05-31,1080437.9409386632,1089079.3903990737,1092271.040014439,1096365.9292706766
2007-06-29,1085447.6641148853,1089725.5637876375,1099291.64977403,1101703.4187931952
2007-07-31,1091002.5964360863,1084768.4642259849,1094606.1694314927,1098088.936801206
2007-08-31,1096411.045143967,1099088.522485462,1111563.7661468636,1116141.8900932223
2007-09-28,1101319.1368880314,1085828.6383380466,1103840.2602547542,1105813.2354947086
2007-10-31,1107131.8876251676,1087992.830459924,1101664.3289905798,1112073.9502732551
2007-11-30,1112442.8250505268,1080065.2148764222,1091645.6718438494,1088281.2098400565
2007-12-31,1117957.5598269512,1062156.3506810938,1070306.5678268557,1067458.4236668018
2008-01-31,1123499.6329069447,1096429.073152451,1095665.8972359225,1088549.9209728662
2008-02-29,1128709.0224851754,1093658.0021314162,1083663.521900335,1075072.6878240914
2008-03-31,1134304.3940032402,1135300.3306200635,1125320.5245682406,1114716.7035367142
2008-04-30,1139745.6785739367,1109860.3552968511,1094169.1554950115,1082382.9078537275
2008-05-30,1145213.0651133251,1140595.1710884753,1138342.675956167,1180119.6017044487
2008-06-30,1150890.252447703,1206757.0353468426,1201317.869338148,1245547.3493770408
2008-07-31,1156595.583414922,1186419.6054080948,1181895.5799709975,1228152.0569659222
2008-08-29,1161958.4307198918,1170538.501963401,1162376.8756238834,1204631.3812329115
2008-09-30,1167904.9177372658,1210025.4518498993,1204755.734484132,1263538.4115541447
2008-10-31,1173694.595840597,1319049.509375889,1314373.365500708,1389411.011602389
2008-11-28,1178948.6479421442,1348373.8258183151,1342957.4365050653,1428949.7104284908
2008-12-31,1185171.1264162182,1303852.7356594536,1297321.9190611565,1371838.019128441
2009-01-30,1190856.4198858521,1308670.6022063456,1301734.0135134282,1380032.69900208
2009-02-27,1196187.2970132714,1328291.2891051527,1322957.803337392,1405991.5554474134
2009-03-31,1202308.9551070384,1305716.8255280047,1299298.549656708,1377885.4848857247
2009-04-30,1307442.1585940984,1419974.5952398505,1412994.299414408,1498446.8118837278
2009-05-29,1956038.4834552044,2124396.047320799,2113952.9641062017,2241796.7863351447
2009-06-30,1986187.4447841696,2157139.9502755837,2146535.904935419,2276350.2193019805
2009-07-31,1947333.3289058942,2114941.634193301,2104545.026880954,2231819.8929057675
2009-08-31,1973250.722806855,2143089.7558308677,2132554.778285265,2261523.5673727063
2009-09-30,2191668.5370136504,2380306.93999676,2368605.8527715136,2511850.1116144178
2009-10-30,2112288.9407529356,2294095.0878473544,2282817.799916604,2420873.9241298493
2009-11-30,2341303.622193847,2542821.2188241356,2530321.2456569336,2683345.4354116255
2009-12-31,2499118.371595888,2714219.1911413283,2700876.6616673707,2864215.3932566475
2010-01-29,2419390.259188434,2627628.825823182,2614711.9563346775,2772839.7747872844
2010-02-26,2427790.455999238,2615328.088993887,2632202.3054870893,2780800.3218996944
2010-03-31,2440604.3083060253,2594958.84815814,2615524.702362722,2775003.485234239
2010-04-30,2652692.203566871,2820713.5300036645,2843400.4174724324,3016899.581401705
2010-05-31,2591937.800349297,2756110.9474150455,2778278.2388646533,2947803.764936849
2010-06-30,2601767.0148997367,2733718.3034831304,2763615.562120762,2916199.676095233
2010-07-30,2727426.892029484,2866066.37892279,2897530.933954966,3057409.6277812477
2010-08-31,2879962.045872822,3026355.1394801456,3059579.393647234,3228399.5264650923
2010-09-30,3080257.899987189,3236832.3533671317,3272367.290890362,3452928.541179859
2010-10-29,3178141.9669564967,3339692.0245806156,3376356.18709643,3562655.291192085
2010-11-30,3082328.9225151218,3239008.649294493,3274567.478861354,3455250.1301598437
2010-12-31,3070412.8037701882,3226486.815106413,3261908.1761401594,3441892.317973196
2011-01-31,2727360.3165922137,2865996.419349177,2897460.206343716,3057334.997592816
2011-02-28,2736829.794840438,2897567.731090002,2924281.1261278074,3075886.676877216
2011-03-31,2750397.135207864,2842260.9327114704,2865272.4755718713,3028058.389165054
2011-04-29,2856659.7429659893,2952355.907251629,2976198.986617457,3145329.599057972
2011-05-31,2830342.121847071,2925156.6636712304,2948780.0832996313,3116352.541889734
2011-06-30,2841075.4195222813,2939143.8924221573,2975115.7083878727,3150722.1407366632
2011-07-29,3001472.587198762,3105507.443472442,3143587.365837766,3329168.3759079347
2011-08-30,3013816.215678527,3178631.810802683,3230236.9158619395,3443423.1118513127
2011-09-30,3028756.6662977305,3182157.5989774237,3228560.0525493706,3443308.3918371783
2011-10-31,3043771.1815077155,3155928.9964460176,3201037.0578661035,3412536.0856491504
2011-11-30,2819163.4951472785,2923451.9226013925,2965214.3871926717,3161119.371277879
2011-12-30,2829854.4009409444,2976856.051023575,3021558.1248088744,3229406.092246667
2012-01-31,2844336.5820683953,2910252.146932901,2941151.5273571988,3127863.741983687
2012-02-29,3175423.8964889576,3249183.487052947,3283615.0843817876,3492003.968803746
2012-03-30,3299837.5833730963,3376487.0881357174,3412267.7217219607,3628821.3206078
2012-04-30,3478324.6505728606,3559120.1003893614,3596836.0960017666,3825103.0037339097
2012-05-31,3418852.2807274326,3498266.2905243784,3535337.4183152085,3759701.4201015565
2012-06-29,3431269.9474683064,3461258.7793167573,3488053.6048702723,3695393.73268686
2012-07-31,3520506.2563433056,3551736.895866829,3579251.4624468344,3792013.118506213
2012-08-31,3668903.8409623657,3701450.9250918464,3730125.2950992556,3951855.3533030394
2012-09-28,3950329.8432344077,3985373.4756980008,4016247.3346178103,4254985.362113984
2012-10-31,4060671.0670031784,4096693.5436253073,4128429.7759445207,4373836.270925557
2012-11-30,4257030.531631451,4294794.925810407,4328065.80831051,4585339.279753233
2012-12-31,4322170.729016006,4360512.986114347,4394292.972751034,4655503.189440719
2013-01-31,4334016.4420071915,4372463.783194408,4406336.350168992,4668262.462053772
2013-02-28,4106528.66091802,4142957.9432324804,4175052.57622736,4423230.473078975
2013-03-28,4120786.6537448945,4184593.565198194,4250395.436694371,4519845.513242388
2013-04-30,4142536.1220478066,4140621.655967279,4202613.212544039,4464462.7271716995
2013-05-31,4272812.724737587,4271368.596435767,4335360.551204874,4605604.377368227
2013-06-28,4142828.24589105,4141428.0498363897,4203473.286734417,4465495.946849006
2013-07-31,4160529.3554343157,4191288.204401316,4294040.505356798,4589780.403756551
2013-08-30,4180487.5115583153,4241414.170139228,4339293.073797241,4593412.420466386
2013-09-30,4201211.524822864,4143477.007251602,4227373.422179858,4456131.76793485
2013-10-31,4222038.273647464,4085520.192998608,4158249.2092936793,4350143.731967894
2013-11-29,4346291.478911058,4206095.919693974,4281041.779734191,4478585.072745871
2013-12-31,4639383.879247632,4489734.224932041,4569734.063086943,4780598.698719136
2014-01-31,4582204.448052313,4434399.194272455,4513413.051236644,4721678.824554692
2014-02-28,4598114.001727993,4416566.569054727,4496073.005027365,4714454.374215847
2014-03-31,4676574.757792452,4492489.469276623,4573354.149541418,4795570.3889127085
2014-04-30,5013943.0624145735,4816577.853249776,4903276.115034739,5141523.043493438
2014-05-30,5613901.096049397,5392919.575066846,5489991.971143441,5756747.033208419
2014-06-30,6808337.921934586,6540339.458190532,6658065.378913724,6981576.351738496
2014-07-31,6803980.528613394,6536153.586131861,6653804.161279288,6977108.084370565
2014-08-28,7409078.634586527,7117433.050216958,7245546.638873761,7597602.935769384
2014-09-30,8423529.231099097,8091951.551036432,8237606.44446864,8637866.268146206
2014-10-31,8855308.407139296,8506734.485529536,8659855.459763149,9080632.082531465
2014-11-28,9063579.50355562,8706807.34993654,8863529.629931822,9294202.645297786
2014-12-31,8995344.549950356,8641258.347432634,8796800.747282304,9224231.450578192
2015-01-30,9729612.40189435,9346623.013525108,9514861.956924569,9977182.777282806
2015-02-27,10108559.135041468,9710653.162993707,9885444.63853483,10365771.82515967
2015-03-31,10441827.437848935,10030802.934642602,10211357.096796189,10707520.153216148
2015-04-30,10481425.209898662,10025749.992252076,10126849.127744539,10783619.73008541
2015-05-29,10530024.983013118,9945326.341416055,10080650.2731458,10901305.774897922
2015-06-30,10583913.878862273,10051813.732781164,10253525.259520845,11178400.021653991
2015-07-31,10636381.724062132,10057065.699438466,10306875.489646949,11324277.498716295
2015-08-31,10069696.201927042,9522335.433910219,9759049.915828312,10722644.287047634
2015-09-30,10107882.768137528,9538807.608653648,9733502.382625706,10741705.075540379
2015-10-30,10156370.516963545,9471141.445024576,9640894.412490457,10520804.791121366
2015-11-30,10206718.893015688,9478645.769834042,9603751.453603787,10497500.233333422
2015-12-31,10257316.86206632,9511967.077316832,9626824.399610875,10494270.51270415
2016-01-29,10304877.500269292,9747252.205056801,9928313.007331658,10926815.74888174
2016-02-29,10355962.072921328,10004630.75266755,10146299.786996622,11200658.85722468
2016-03-31,10407299.88813379,9767747.355875583,9908877.447651103,10899537.773903254
2016-04-29,10866763.962125465,10199766.34914586,10346942.61371143,11381342.723865552
2016-05-31,10890494.98003328,10222040.766693778,10369538.437207077,11406197.48733851
2016-06-30,11362622.450737625,10665189.242632108,10819081.269163378,11900681.822524795
2016-07-29,12031330.29005654,11292852.0630143,11455800.872431405,12601055.284942001
2016-08-31,12518185.216566147,11749824.029428236,11919366.659206104,13110964.471772673
2016-09-30,12690260.947586885,11911337.821104141,12083210.994123979,13291188.582283637
2016-10-28,13607056.343999503,12771860.683841672,12956150.66487217,14251397.403474707
2016-11-30,12401276.20813596,11640090.849039443,11808050.097489184,12988519.418480914
2016-12-30,12448304.653236998,11697632.940757066,11859391.924353255,13012752.236000383
2017-01-31,12512010.617281623,11605402.746669222,11810452.559375735,12983118.54524076
2017-02-28,13311677.08872676,12347591.494498335,12566085.129826019,13813997.48929584
2017-03-31,14117394.886556478,13094955.944607582,13326674.375693345,14650119.30641282
2017-04-28,15529286.830573795,14404592.952994954,14659485.729543133,16115289.44536769
2017-05-31,15424714.829639142,14307594.48009804,14560770.845071234,16006771.386468483
2017-06-30,15663415.841477266,14529007.797432521,14786102.124919789,16254479.857478235
2017-07-31,16996238.60490629,15765302.135681385,16044272.992240679,17637597.114978205
2017-08-31,18799169.53976757,17437657.506689735,17746221.09837751,19508562.226402026
2017-09-29,20673662.68307605,19176392.26103653,19515723.18718925,21453789.969140355
2017-10-31,23886318.010029398,22156374.071400464,22548436.50063595,24787675.87432732
2017-11-30,24608712.33699445,22826449.674035203,23230369.254070446,25537329.982706178
2017-12-29,27129299.576476187,25164485.77211053,25609777.469681688,28153032.389372826
2018-01-31,28846597.5113528,26757410.03198157,27230888.91184622,29935133.112117145
2018-02-28,28239754.601716302,26194517.14481334,26658035.498103056,29305390.790827274
2018-03-28,27069390.03012793,25108915.117864776,25553223.479190238,28090862.13709555
2018-04-30,27185049.72195028,24851219.525968794,25273124.66144604,27657335.42284642
2018-05-31,27569694.42111171,25204911.060978875,25633152.02657916,28051631.391752526
2018-06-29,26289566.931391753,24034586.17335886,24442942.876771998,26749126.404661488
2018-07-31,28590373.741161298,26138041.878124636,26582137.089002725,29090152.879074153
2018-08-31,30597670.54706242,27973163.323177062,28448437.941025548,31132538.595539033
