date,trades,pnl_net,equity,daily_ret,drawdown_pct
2024-05-30,4,-21.81,999978.19,-2.181e-05,0.0
2024-05-31,3,4.53,999982.72,4.53e-06,0.0
2024-06-03,4,156.04,1000138.76,0.00015604,0.0
2024-06-04,8,-37.49,1000101.27,-3.749e-05,-0.003748479860933565
2024-06-05,8,277.25,1000378.52,0.00027725,0.0
2024-06-06,8,-37.81,1000340.71,-3.7810000000000006e-05,-0.00377956935741242
2024-06-07,4,1.24,1000341.95,1.24e-06,-0.003655616276133677
2024-06-10,3,-9.06,1000332.89,-9.06e-06,-0.004561273466767824
2024-06-11,4,16.48,1000349.37,1.648e-05,-0.00291389703169789
2024-06-12,4,-6.95,1000342.42,-6.95e-06,-0.003608634059833344
2024-06-13,4,4.21,1000346.63,4.21e-06,-0.00318779335646011
2024-06-14,5,47.53,1000394.16,4.753e-05,0.0
2024-06-18,2,-3.85,1000390.31,-3.85e-06,-0.0003848483081885161
2024-06-19,7,-9.29,1000381.02,-9.289999999999999e-06,-0.0013134822778267687
2024-06-20,2,65.5,1000446.52,6.55e-05,0.0
2024-06-21,6,17.61,1000464.13,1.761e-05,0.0
2024-06-24,4,2.41,1000466.54,2.4100000000000002e-06,0.0
2024-06-25,4,-4.03,1000462.51,-4.03e-06,-0.00040281207205869566
2024-06-26,6,-6.42,1000456.09,-6.4199999999999995e-06,-0.001044512693055167
2024-06-27,4,12.95,1000469.04,1.295e-05,0.0
2024-06-28,4,-6.69,1000462.35,-6.69e-06,-0.0006686863593560612
2024-07-01,4,3.4,1000465.75,3.4e-06,-0.00032884575818930417
2024-07-02,4,1.75,1000467.5,1.75e-06,-0.00015392780170761234
2024-07-03,4,-1.28,1000466.22,-1.28e-06,-0.0002818677927370139
2024-07-04,7,-3.1,1000463.12,-3.1e-06,-0.000591722458502255
2024-07-05,0,0.0,1000463.12,0.0,-0.000591722458502255
2024-07-08,5,4.32,1000467.44,4.32e-06,-0.00015992498879256994
2024-07-09,8,-22.44,1000445.0,-2.2440000000000002e-05,-0.002402872956472221
2024-07-10,1,2.59,1000447.59,2.5899999999999998e-06,-0.0021439943808825757
2024-07-11,7,-14.6,1000432.99,-1.4599999999999999e-05,-0.003603309903527506
2024-07-12,4,-34.27,1000398.72,-3.427e-05,-0.007028703257030842
2024-07-15,5,6.04,1000404.76,6.04e-06,-0.006424986424370307
2024-07-16,5,3.36,1000408.12,3.36e-06,-0.006089143947926855
2024-07-18,2,-15.64,1000392.48,-1.564e-05,-0.0076524107132846285
2024-07-19,2,6.66,1000399.14,6.66e-06,-0.006986722947471046
2024-07-22,3,-2.33,1000396.81,-2.33e-06,-0.007219613712382481
2024-07-23,1,-0.94,1000395.87,-9.399999999999999e-07,-0.007313569643298697
2024-07-24,6,-19.38,1000376.49,-1.9379999999999997e-05,-0.009250661069936415
2024-07-25,3,151.74,1000528.23,0.00015174,0.0
2024-07-26,7,11.44,1000539.67,1.1439999999999999e-05,0.0
2024-07-29,3,72.15,1000611.82,7.215e-05,0.0
2024-07-30,7,-4.53,1000607.29,-4.53e-06,-0.00045272301499611756
2024-07-31,2,13.47,1000620.76,1.3470000000000001e-05,0.0
2024-08-01,2,0.79,1000621.55,7.900000000000001e-07,0.0
2024-08-02,1,-9.35,1000612.2,-9.35e-06,-0.000934419211748251
2024-08-05,2,2.53,1000614.73,2.53e-06,-0.0006815763662160976
2024-08-06,5,41.74,1000656.47,4.1740000000000004e-05,0.0
2024-08-07,0,0.0,1000656.47,0.0,0.0
2024-08-08,2,0.7,1000657.17,7e-07,0.0
2024-08-09,3,-24.15,1000633.02,-2.4149999999999997e-05,-0.0024134139767392343
2024-08-12,3,-9.82,1000623.2,-9.820000000000001e-06,-0.003394769059625933
2024-08-13,5,40.2,1000663.4,4.02e-05,0.0
2024-08-14,4,-7.33,1000656.07,-7.33e-06,-0.0007325140501865568
2024-08-16,6,30.06,1000686.13,3.006e-05,0.0
