A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
PFC,RECLTD,2700,1,2700,0.8918,0.991,-4.374,0.0003,1%,33.4,12.1,234586,True,False,2318,PSU Finance
PFC,HUDCO,2700,1,7200,2.1467,0.824,-2.593,0.0944,10%,79.6,24.2,233751,True,False,1733,PSU Finance
CANFINHOME,PFC,1200,1,2700,1.5312,0.443,1.758,0.9983,FAIL,999.0,46.9,350245,False,True,2318,PSU Finance
PNBHOUSING,PFC,1400,1,2700,0.3365,0.009,3.493,1.0,FAIL,999.0,473.2,340975,False,True,1865,PSU Finance
RECLTD,HUDCO,2700,1,7200,2.4046,0.849,-2.108,0.2412,FAIL,72.4,10.9,242521,False,False,1733,PSU Finance
RECLTD,CANFINHOME,2700,1,1200,0.3262,0.452,2.111,0.9988,FAIL,999.0,36.2,255040,False,False,2318,PSU Finance
PNBHOUSING,RECLTD,1400,1,2700,0.3508,0.012,4.746,1.0,FAIL,999.0,449.7,345522,False,True,1865,PSU Finance
HUDCO,CANFINHOME,7200,1,1200,0.1533,0.383,2.951,1.0,FAIL,999.0,8.7,254205,False,False,1733,PSU Finance
PNBHOUSING,HUDCO,1400,1,7200,2.7611,0.11,4.783,1.0,FAIL,999.0,86.3,776645,False,True,1733,PSU Finance
PNBHOUSING,CANFINHOME,1400,1,1200,0.0579,0.001,-1.504,0.5314,FAIL,247.7,1379.7,281113,False,True,1865,PSU Finance
NHPC,NTPC,30000,3,3250,0.2756,0.96,-3.712,0.0039,1%,26.3,17.9,1231705,True,True,2318,Power — PSU
NTPC,SJVN,3250,1,6000,2.4251,0.929,-2.233,0.1946,FAIL,34.0,23.9,197598,False,False,2318,Power — PSU
NHPC,POWERGRID,30000,2,4200,0.3084,0.939,-2.366,0.1515,FAIL,39.6,9.2,1015428,False,True,2318,Power — PSU
POWERGRID,SJVN,4200,1,6000,2.0042,0.812,-1.312,0.6235,FAIL,96.9,28.7,205213,False,False,2318,Power — PSU
NHPC,SJVN,30000,3,6000,0.6827,0.93,-1.943,0.3123,FAIL,55.6,12.1,499778,False,False,2318,Power — PSU
BEL,HAL,3750,1,300,0.0594,0.969,-1.867,0.3479,FAIL,55.6,34.6,201573,False,False,1518,Defence PSU
BEL,COCHINSHIP,3750,1,500,0.1984,0.784,-0.113,0.9482,FAIL,999.0,32.8,138441,False,False,1674,Defence PSU
HAL,COCHINSHIP,300,2,500,3.4441,0.871,-0.932,0.7774,FAIL,324.7,3.2,208308,False,False,1518,Defence PSU
HEROMOTOCO,EICHERMOT,300,1,200,0.6343,0.657,-2.614,0.0901,10%,96.9,5.1,262624,True,False,2318,Auto — 2W
HEROMOTOCO,TVSMOTORS,300,1,350,0.9432,0.624,-2.193,0.2089,FAIL,130.6,23.7,242607,False,False,2318,Auto — 2W
EICHERMOT,TVSMOTORS,200,1,350,1.3547,0.789,-3.502,0.0079,1%,68.9,29.2,199514,True,False,2318,Auto — 2W
JSWSTEEL,TATASTEEL,1350,2,5500,6.5271,0.954,-2.124,0.2348,FAIL,144.5,24.8,1338256,False,True,2318,Steel
SAIL,TATASTEEL,10500,1,5500,0.683,0.835,-2.903,0.045,5%,107.0,23.3,282787,True,True,2318,Steel
TATASTEEL,JSPL,5500,1,1250,0.1672,0.901,-1.623,0.471,FAIL,223.3,35.9,236165,False,False,2318,Steel
JSWSTEEL,SAIL,1350,1,10500,7.592,0.721,-1.989,0.2914,FAIL,169.0,2.4,328270,False,False,2318,Steel
JSWSTEEL,JSPL,1350,1,1250,1.1164,0.9,-0.488,0.8944,FAIL,1482.4,17.1,295049,False,False,2318,Steel
SAIL,JSPL,10500,1,1250,0.1142,0.753,-2.3,0.1719,FAIL,124.7,4.2,301000,False,False,2318,Steel
SBILIFE,HDFCLIFE,750,1,1100,1.8413,0.45,-2.04,0.2694,FAIL,94.8,20.3,294884,False,True,1608,Insurance
ICICIPRULI,HDFCLIFE,1500,1,1100,0.7841,0.708,-3.425,0.0101,5%,43.8,6.5,228355,True,True,1608,Insurance
SBILIFE,ICICIPRULI,750,1,1500,2.3943,0.654,-2.401,0.1414,FAIL,94.8,16.5,276228,False,False,1640,Insurance
WIPRO,TCS,3000,1,150,0.063,0.812,-1.47,0.5485,FAIL,288.0,20.6,1508264,False,True,2318,IT Services
HCLTECH,TCS,700,2,150,0.338,0.923,-2.331,0.162,FAIL,116.6,26.8,405523,False,True,2318,IT Services
TECHM,TCS,600,1,150,0.3404,0.922,-3.341,0.0132,5%,76.3,26.6,326514,True,True,2318,IT Services
MPHASIS,TCS,300,2,150,0.8585,0.906,-2.704,0.0733,10%,103.1,16.5,251037,True,True,2318,IT Services
TCS,PERSISTENT,150,1,150,0.7873,0.771,-1.698,0.4323,FAIL,278.5,27.0,146764,False,False,2318,IT Services
TCS,COFORGE,150,2,200,2.4679,0.94,-3.558,0.0066,1%,63.4,8.1,138181,True,False,2318,IT Services
OFSS,TCS,200,1,150,0.6607,0.391,-1.063,0.7294,FAIL,567.5,13.5,206962,False,True,2318,IT Services
LTTS,TCS,200,2,150,1.5995,0.903,-3.268,0.0164,5%,74.4,6.2,303459,True,True,1893,IT Services
INFY,WIPRO,600,1,3000,6.3852,0.89,-2.5,0.1155,FAIL,140.6,21.7,212486,False,False,2318,IT Services
INFY,HCLTECH,600,1,700,1.2636,0.883,-1.605,0.481,FAIL,246.8,7.7,248128,False,False,2318,IT Services
INFY,TECHM,600,1,600,1.2886,0.933,-2.723,0.0702,10%,80.9,22.4,223692,True,False,2318,IT Services
INFY,MPHASIS,600,1,300,0.5099,0.945,-3.143,0.0235,5%,60.7,1.9,221240,True,False,2318,IT Services
INFY,PERSISTENT,600,1,150,0.3641,0.737,-0.651,0.8589,FAIL,567.3,31.3,192151,False,False,2318,IT Services
INFY,COFORGE,600,3,200,1.1578,0.925,-2.796,0.0589,10%,97.0,13.6,215067,True,False,2318,IT Services
INFY,OFSS,600,1,200,0.2497,0.311,-1.052,0.7336,FAIL,876.7,33.5,262860,False,False,2318,IT Services
INFY,LTTS,600,1,200,0.2781,0.894,-2.39,0.1444,FAIL,101.2,19.9,256046,False,False,1893,IT Services
WIPRO,TECHM,3000,1,600,0.1854,0.886,-2.335,0.161,FAIL,124.6,7.8,195039,False,False,2318,IT Services
WIPRO,MPHASIS,3000,1,300,0.0736,0.903,-2.528,0.1089,FAIL,86.9,35.8,192587,False,False,2318,IT Services
WIPRO,PERSISTENT,3000,1,150,0.0478,0.582,-1.052,0.7339,FAIL,543.6,4.6,163497,False,False,2318,IT Services
WIPRO,COFORGE,3000,2,200,0.1604,0.813,-1.9,0.3319,FAIL,203.9,16.9,154915,False,False,2318,IT Services
OFSS,WIPRO,200,1,3000,8.3131,0.302,-0.719,0.8417,FAIL,838.7,80.4,2140485,False,True,2318,IT Services
LTTS,WIPRO,200,1,3000,19.808,0.786,-1.884,0.3394,FAIL,176.0,24.3,2038281,False,True,1893,IT Services
HCLTECH,TECHM,700,1,600,0.9324,0.883,-2.565,0.1004,FAIL,129.6,8.1,230681,False,False,2318,IT Services
HCLTECH,MPHASIS,700,1,300,0.3596,0.85,-1.835,0.3633,FAIL,183.5,19.2,228229,False,False,2318,IT Services
HCLTECH,PERSISTENT,700,1,150,0.3039,0.929,-2.159,0.2213,FAIL,95.4,29.5,199139,False,False,2318,IT Services
HCLTECH,COFORGE,700,3,200,0.8776,0.961,-3.116,0.0254,5%,48.8,2.3,222056,True,False,2318,IT Services
HCLTECH,OFSS,700,1,200,0.2473,0.552,-1.236,0.6577,FAIL,391.9,15.5,269848,False,False,2318,IT Services
HCLTECH,LTTS,700,1,200,0.213,0.924,-2.959,0.0389,5%,74.2,34.1,263035,True,False,1893,IT Services
TECHM,MPHASIS,600,1,300,0.3832,0.95,-4.315,0.0004,1%,42.9,30.5,203793,True,False,2318,IT Services
TECHM,PERSISTENT,600,1,150,0.279,0.77,-1.835,0.3631,FAIL,219.8,10.4,174703,False,False,2318,IT Services
TECHM,COFORGE,600,3,200,0.8724,0.935,-3.796,0.0029,1%,58.1,14.6,197620,True,False,2318,IT Services
TECHM,OFSS,600,1,200,0.2085,0.386,-1.642,0.461,FAIL,481.2,59.9,245413,False,False,2318,IT Services
