entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,year
2015-07-16,2015-07-27,7,ShortAXISBANK-LongICICIBANK,2.844,0.457,reversion,593.92,542.35,269.2,247.13,61885.69,-15450.66,606.06,45828.98,2015
2015-08-21,2015-09-03,9,LongAXISBANK-ShortICICIBANK,-2.904,-0.362,reversion,512.59,475.12,251.71,226.54,-44965.06,17619.67,530.64,-27876.03,2015
2015-10-09,2015-10-21,8,LongAXISBANK-ShortICICIBANK,-2.795,-0.335,reversion,478.58,499.37,242.88,239.99,24941.53,2020.45,530.39,26431.58,2015
2016-01-21,2016-01-28,4,ShortAXISBANK-LongICICIBANK,2.895,0.336,reversion,399.25,395.84,192.11,197.97,4098.38,4100.37,429.92,7768.83,2016
2016-02-05,2016-02-29,16,ShortAXISBANK-LongICICIBANK,2.508,-0.254,reversion,389.88,366.66,177.77,161.34,27868.98,-11498.85,401.65,15968.49,2016
2016-04-29,2016-07-14,53,ShortAXISBANK-LongICICIBANK,2.731,0.164,reversion,460.97,551.81,201.16,232.72,-109003.93,22093.16,527.32,-87438.09,2016
2017-02-22,2017-03-14,12,ShortAXISBANK-LongICICIBANK,3.436,0.255,reversion,517.38,503.2,247.92,248.88,17019.54,667.14,551.25,17135.44,2017
2017-07-20,2017-07-28,6,ShortAXISBANK-LongICICIBANK,4.208,0.254,reversion,537.09,512.32,288.74,284.46,29718.9,-2992.09,582.52,26144.28,2017
2017-08-09,2017-09-13,23,LongAXISBANK-ShortICICIBANK,-2.615,-0.307,reversion,484.32,496.61,279.13,280.48,14740.03,-941.37,549.79,13248.87,2017
2017-10-18,2017-11-17,21,LongAXISBANK-ShortICICIBANK,-3.095,0.497,reversion,461.99,539.47,252.77,312.27,92975.9,-41653.78,561.62,50760.5,2017
2018-02-15,2018-03-07,13,LongAXISBANK-ShortICICIBANK,-2.516,-0.118,reversion,540.77,509.89,315.68,275.39,-37059.05,28206.23,585.64,-9438.46,2018
2018-04-10,2018-04-18,6,ShortAXISBANK-LongICICIBANK,2.752,-0.121,reversion,543.2,515.46,277.4,278.6,33299.49,840.48,582.57,33557.4,2018
2018-08-03,2018-09-03,19,ShortAXISBANK-LongICICIBANK,2.694,0.473,reversion,571.65,628.39,292.96,322.4,-68090.77,20603.71,652.41,-48139.47,2018
2018-10-08,2018-10-29,14,LongAXISBANK-ShortICICIBANK,-2.836,-4.336,stop-loss,553.55,563.64,299.92,337.11,12114.33,-26035.93,624.6,-14546.19,2018
2019-01-25,2019-01-28,1,ShortAXISBANK-LongICICIBANK,3.64,4.285,stop-loss,666.14,652.76,344.64,331.47,16052.93,-9218.97,719.92,6114.04,2019
2019-01-31,2019-02-01,1,ShortAXISBANK-LongICICIBANK,4.74,4.621,stop-loss,718.8,713.38,351.63,342.18,6504.79,-6618.75,771.49,-885.46,2019
