entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,year
2015-08-12,2015-08-25,9,LongNTPC-ShortPOWERGRID,-2.716,-0.25,reversion,71.96,66.96,47.57,44.99,-16254.59,5436.08,225.51,-11044.01,2015
2015-08-27,2015-08-31,2,LongNTPC-ShortPOWERGRID,-3.122,0.253,reversion,66.96,68.25,47.17,45.7,4200.66,3085.32,222.43,7063.56,2015
2015-09-10,2015-09-18,5,ShortNTPC-LongPOWERGRID,2.655,0.127,reversion,68.04,72.34,43.61,47.2,-13999.28,7536.1,226.1,-6689.29,2015
2015-10-30,2015-11-30,18,ShortNTPC-LongPOWERGRID,3.445,-0.21,reversion,75.77,74.68,45.52,48.15,3523.07,5531.45,240.44,8814.09,2015
2016-02-02,2016-02-03,1,LongNTPC-ShortPOWERGRID,-4.175,-4.752,stop-loss,76.48,73.4,51.71,50.93,-10012.73,1642.44,245.5,-8615.8,2016
2016-02-08,2016-03-18,28,LongNTPC-ShortPOWERGRID,-3.296,-0.454,reversion,71.22,73.65,50.64,48.65,7887.88,4180.76,238.38,11830.26,2016
2016-05-23,2016-05-31,6,LongNTPC-ShortPOWERGRID,-2.715,-0.428,reversion,78.42,82.72,52.67,53.33,13991.67,-1381.14,261.83,12348.7,2016
2016-09-12,2016-09-22,7,LongNTPC-ShortPOWERGRID,-3.31,-0.463,reversion,89.3,91.72,64.61,64.0,7879.55,1279.61,300.89,8858.27,2016
2016-09-29,2016-10-28,19,LongNTPC-ShortPOWERGRID,-2.719,-0.454,reversion,87.31,88.95,62.15,63.05,5316.36,-1881.79,292.69,3141.88,2016
2017-03-01,2017-03-23,15,LongNTPC-ShortPOWERGRID,-2.735,0.162,reversion,94.89,97.53,69.4,69.54,8580.22,-302.59,321.42,7956.21,2017
2017-04-17,2017-05-30,30,LongNTPC-ShortPOWERGRID,-3.65,-0.148,reversion,94.51,95.67,72.87,73.52,3759.9,-1361.64,324.04,2074.21,2017
2017-08-02,2017-08-22,13,ShortNTPC-LongPOWERGRID,2.762,-0.24,reversion,101.95,99.49,79.9,79.07,8001.82,-1739.83,346.3,5915.69,2017
2017-10-05,2017-10-06,1,ShortNTPC-LongPOWERGRID,3.017,4.032,stop-loss,102.82,105.8,75.01,74.93,-9667.73,-153.68,347.02,-10168.43,2017
2017-10-18,2017-11-15,19,ShortNTPC-LongPOWERGRID,2.642,0.069,reversion,107.0,104.69,78.15,75.76,7519.34,-5034.0,354.04,2131.31,2017
2018-02-02,2018-03-09,23,LongNTPC-ShortPOWERGRID,-2.946,-0.303,reversion,99.28,100.45,70.6,71.49,3829.42,-1881.48,331.73,1616.22,2018
2018-06-15,2018-06-28,9,LongNTPC-ShortPOWERGRID,-2.863,-0.413,reversion,95.35,95.57,73.33,68.49,695.07,10156.73,321.95,10529.85,2018
2018-08-23,2018-09-21,19,ShortNTPC-LongPOWERGRID,2.834,-0.115,reversion,100.42,104.29,70.49,75.35,-12568.31,10202.6,339.94,-2705.64,2018
2018-11-09,2018-11-13,2,LongNTPC-ShortPOWERGRID,-2.824,-0.147,reversion,95.74,97.19,72.08,69.2,4734.24,6040.38,323.84,10450.78,2018
