entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,year
2016-02-03,2016-02-04,1,LongNTPC-ShortPOWERGRID,-2.532,-3.777,stop-loss,73.4,71.83,50.93,52.19,-5099.13,-5300.6,316.25,-10715.98,2016
2016-02-11,2016-04-04,34,LongNTPC-ShortPOWERGRID,-2.052,-0.393,reversion,69.89,75.76,48.6,49.27,19062.48,-2836.95,310.36,15915.17,2016
2016-10-03,2016-11-01,18,LongNTPC-ShortPOWERGRID,-2.055,-0.204,reversion,87.98,90.55,64.95,63.41,8354.19,6473.36,392.51,14435.03,2016
2016-11-16,2016-11-23,5,LongNTPC-ShortPOWERGRID,-2.199,0.344,reversion,87.72,93.39,67.56,65.11,18417.2,10312.19,402.47,28326.92,2016
2017-05-03,2017-07-11,48,LongNTPC-ShortPOWERGRID,-2.052,-0.408,reversion,96.17,96.88,76.02,76.35,2313.7,-1361.62,443.63,508.44,2017
2017-10-06,2018-02-02,82,ShortNTPC-LongPOWERGRID,2.634,0.121,reversion,105.8,99.28,74.93,70.6,21190.81,-18214.59,447.35,2528.87,2018
2018-06-27,2018-07-23,18,LongNTPC-ShortPOWERGRID,-2.031,-0.388,reversion,93.98,96.64,69.38,65.62,8638.54,15799.44,416.49,24021.49,2018
2018-11-20,2019-03-01,70,LongNTPC-ShortPOWERGRID,-2.252,-0.487,reversion,92.45,91.0,70.84,68.88,-4719.93,8211.78,414.24,3077.61,2019
2019-08-02,2019-09-06,22,LongNTPC-ShortPOWERGRID,-2.231,-0.418,reversion,94.0,98.98,81.61,79.82,16169.76,7507.53,458.01,23219.28,2019
2020-03-02,2020-04-16,28,LongNTPC-ShortPOWERGRID,-2.157,-0.497,reversion,80.98,74.59,71.98,66.45,-20769.04,23206.22,380.56,2056.63,2020
2020-06-22,2020-07-23,23,LongNTPC-ShortPOWERGRID,-2.368,-3.649,stop-loss,74.74,71.02,72.63,73.91,-12107.34,-5380.45,380.35,-17868.14,2020
2020-07-30,2020-08-20,15,LongNTPC-ShortPOWERGRID,-3.061,-0.465,reversion,67.92,81.73,71.92,73.69,44895.21,-7430.04,386.15,37079.02,2020
2020-09-10,2020-10-09,20,LongNTPC-ShortPOWERGRID,-2.013,-0.481,reversion,73.2,67.02,73.88,65.73,-20099.68,34245.03,365.44,13779.92,2020
2020-11-03,2020-12-11,27,LongNTPC-ShortPOWERGRID,-2.565,-0.462,reversion,69.48,82.78,74.86,80.33,43220.84,-22975.61,402.34,19842.89,2020
2021-07-13,2021-08-09,18,ShortNTPC-LongPOWERGRID,2.137,0.397,reversion,99.93,97.27,99.41,102.29,8668.15,12082.15,521.85,20228.44,2021
2021-09-15,2021-09-29,10,ShortNTPC-LongPOWERGRID,2.709,3.589,stop-loss,106.41,120.5,104.95,115.07,-45805.13,42492.54,581.37,-3893.96,2021
2021-10-06,2021-10-07,1,ShortNTPC-LongPOWERGRID,4.276,3.869,stop-loss,122.78,122.35,110.67,111.08,1392.27,1734.58,604.96,2521.88,2021
2021-10-14,2021-11-18,23,ShortNTPC-LongPOWERGRID,2.306,0.205,reversion,128.0,115.92,120.73,113.56,39261.62,-30104.12,622.33,8535.17,2021
2021-11-26,2022-01-17,36,LongNTPC-ShortPOWERGRID,-2.142,-0.447,reversion,110.39,117.03,119.17,126.0,21579.92,-28708.28,618.74,-7747.09,2022
2022-04-21,2022-05-09,11,ShortNTPC-LongPOWERGRID,2.021,0.177,reversion,143.46,140.2,142.62,153.85,10603.12,47181.68,761.37,57023.43,2022
2022-09-05,2023-01-20,96,ShortNTPC-LongPOWERGRID,2.054,0.49,reversion,147.83,151.61,141.58,144.87,-12266.9,13813.49,761.76,784.83,2023
2023-07-21,2023-08-01,7,ShortNTPC-LongPOWERGRID,2.128,6.139,stop-loss,179.91,207.62,162.14,167.25,-90059.9,21480.78,921.59,-69500.71,2023
2023-08-08,2023-08-09,1,ShortNTPC-LongPOWERGRID,4.172,4.275,stop-loss,200.61,201.68,163.54,162.76,-3446.48,-3270.93,936.94,-7654.35,2023
2023-08-17,2023-10-18,42,ShortNTPC-LongPOWERGRID,3.362,0.349,reversion,201.74,226.28,165.03,186.45,-79772.24,89971.81,1004.07,9195.51,2023
2024-01-31,2024-02-02,2,LongNTPC-ShortPOWERGRID,-2.506,-3.746,stop-loss,299.75,313.91,238.67,255.05,46024.28,-68812.23,1422.67,-24210.63,2024
2024-02-09,2024-03-27,31,LongNTPC-ShortPOWERGRID,-2.649,-0.469,reversion,309.73,316.12,251.28,252.91,20758.32,-6836.41,1453.75,12468.16,2024
2024-05-02,2024-07-24,55,LongNTPC-ShortPOWERGRID,-2.049,-0.155,reversion,351.82,392.65,293.48,337.05,132706.11,-183007.41,1771.19,-52072.5,2024
2024-09-19,2024-11-11,35,ShortNTPC-LongPOWERGRID,2.187,-0.12,reversion,424.0,393.15,336.0,330.0,100262.5,-25200.0,1912.28,73150.22,2024
2024-11-21,2025-02-11,58,LongNTPC-ShortPOWERGRID,-2.043,-0.492,reversion,357.8,305.6,325.6,261.3,-169650.0,270060.0,1622.38,98787.62,2025
2026-01-02,2026-06-08,103,ShortNTPC-LongPOWERGRID,2.66,0.417,reversion,351.65,360.95,271.15,290.55,-30225.0,81480.0,1638.84,49616.16,2026
