entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,year
2015-07-23,2015-08-05,9,LongTCS-ShortINFY,-2.752,0.4,reversion,966.69,989.43,415.25,410.84,3411.52,1762.37,218.61,4955.28,2015
2015-08-12,2015-08-24,8,ShortTCS-LongINFY,3.541,-0.312,reversion,1037.81,1001.67,432.8,413.0,5421.73,-7919.27,225.36,-2722.9,2015
2015-10-14,2015-12-09,36,LongTCS-ShortINFY,-2.068,-0.089,reversion,964.79,921.71,415.1,392.43,-6461.33,9068.07,212.23,2394.51,2015
2016-01-13,2016-01-14,1,LongTCS-ShortINFY,-3.686,-5.508,stop-loss,887.28,887.12,413.5,432.43,-23.33,-7572.22,211.21,-7806.75,2016
2016-01-19,2016-02-01,8,LongTCS-ShortINFY,-3.602,-0.268,reversion,887.32,937.62,434.97,447.83,7545.07,-5144.81,219.52,2180.74,2016
2016-02-11,2016-03-02,14,LongTCS-ShortINFY,-3.067,-0.235,reversion,857.72,904.9,411.68,441.21,7076.91,-11808.79,211.71,-4943.59,2016
2016-04-12,2016-04-18,2,ShortTCS-LongINFY,2.086,-0.156,reversion,982.67,983.29,451.21,472.77,-93.62,8625.63,233.0,8299.02,2016
2016-04-20,2016-04-26,4,LongTCS-ShortINFY,-2.314,-0.451,reversion,956.21,971.61,474.64,470.27,2309.22,1747.99,233.7,3823.5,2016
2016-06-09,2016-06-27,12,ShortTCS-LongINFY,2.539,0.395,reversion,1016.17,984.07,457.73,450.28,4814.26,-2980.77,232.23,1601.26,2016
2016-07-25,2016-08-01,5,ShortTCS-LongINFY,2.461,3.624,stop-loss,1011.57,1070.59,417.33,419.03,-8852.9,679.57,225.99,-8399.33,2016
2016-08-11,2016-08-17,3,ShortTCS-LongINFY,2.022,0.402,reversion,1071.24,1037.5,415.98,398.97,5060.83,-6803.27,224.71,-1967.15,2016
2016-09-08,2016-10-24,29,LongTCS-ShortINFY,-3.123,-0.268,reversion,917.94,962.26,400.65,400.83,6647.91,-71.86,211.25,6364.8,2016
2016-12-07,2016-12-20,9,LongTCS-ShortINFY,-2.039,-0.121,reversion,853.99,927.22,377.14,394.99,10984.29,-7141.59,201.8,3640.89,2016
2017-01-24,2017-02-01,5,ShortTCS-LongINFY,2.346,-0.067,reversion,921.54,861.73,369.0,357.76,8970.47,-4495.67,195.59,4279.22,2017
2017-02-10,2017-03-17,23,ShortTCS-LongINFY,2.345,0.459,reversion,953.18,1003.98,377.88,405.98,-7619.96,11239.23,212.67,3406.6,2017
2017-04-10,2017-04-27,12,ShortTCS-LongINFY,2.603,0.357,reversion,962.84,915.29,372.07,361.08,7131.14,-4394.27,201.38,2535.49,2017
2017-05-16,2017-05-18,2,ShortTCS-LongINFY,2.054,4.575,stop-loss,965.58,1008.13,372.69,375.32,-6382.75,1053.67,208.08,-5537.15,2017
2017-05-23,2017-05-24,1,ShortTCS-LongINFY,3.019,3.596,stop-loss,1002.37,1017.25,373.59,372.61,-2232.93,-390.23,210.37,-2833.53,2017
2017-05-29,2017-06-12,10,ShortTCS-LongINFY,2.259,0.475,reversion,1022.7,988.65,384.46,381.91,5106.79,-1018.75,213.09,3874.95,2017
2017-07-14,2017-07-21,5,LongTCS-ShortINFY,-2.286,-0.458,reversion,963.63,1001.31,385.16,388.35,5652.33,-1275.92,211.67,4164.74,2017
2017-08-18,2017-08-21,1,ShortTCS-LongINFY,2.114,3.517,stop-loss,1013.25,1019.29,365.82,346.07,-906.88,-7900.88,205.93,-9013.7,2017
2017-10-13,2017-11-20,25,ShortTCS-LongINFY,2.194,0.397,reversion,1031.3,1092.65,368.54,385.92,-9202.68,6951.7,217.02,-2468.0,2017
2017-11-23,2017-12-29,25,LongTCS-ShortINFY,-2.088,0.171,reversion,1083.68,1091.75,398.25,418.66,1209.5,-8163.9,228.23,-7182.63,2017
2018-01-10,2018-01-22,8,ShortTCS-LongINFY,2.487,4.616,stop-loss,1134.34,1262.54,422.76,462.03,-19229.79,15709.01,249.53,-3770.31,2018
2018-01-25,2018-02-07,8,ShortTCS-LongINFY,2.182,0.43,reversion,1264.43,1197.18,472.23,445.58,10087.66,-10662.84,257.7,-832.88,2018
2018-03-13,2018-04-02,12,LongTCS-ShortINFY,-4.167,-0.343,reversion,1169.53,1178.78,475.61,456.87,1388.58,7496.95,254.28,8631.25,2018
