entry_date,exit_date,hold_days,direction,entry_pa,entry_pb,exit_pa,exit_pb,z_entry,z_exit,exit_reason,net_pnl
2015-07-30,2015-08-17,18,LongTATA,17.88228988647461,76.34368896484375,17.781402587890625,86.81888580322266,-2.257,-4.35,z_stop,-6016.16
2016-02-12,2016-02-15,3,LongTATA,15.673579216003418,90.78357696533203,17.777803421020508,93.51798248291016,-2.013,-0.053,z_exit,7749.84
2016-03-03,2016-05-04,62,ShortTATA,20.68552017211914,104.15035247802734,23.690526962280273,118.68899536132812,2.241,0.124,z_exit,-5682.92
2016-06-13,2016-06-28,15,LongTATA,23.283374786376953,125.74280548095703,22.447452545166016,128.1000518798828,-2.504,-3.604,z_stop,-5015.96
2016-07-05,2016-08-17,43,LongTATA,24.043630599975586,133.70191955566406,28.873916625976562,160.0767364501953,-2.295,-0.117,z_exit,7290.36
2016-10-07,2016-10-19,12,ShortTATA,29.95710563659668,159.95489501953125,31.390300750732422,157.86077880859375,2.703,3.67,z_stop,-7536.5
2016-10-28,2016-11-18,21,ShortTATA,29.876049041748047,149.73260498046875,28.37653350830078,152.68870544433594,2.241,0.379,z_exit,8025.3
2016-12-05,2017-04-05,121,ShortTATA,30.469223022460938,148.8029022216797,36.34938049316406,176.73475646972656,2.009,0.39,z_exit,-11347.94
2017-04-27,2017-05-17,20,LongTATA,32.85296630859375,178.99131774902344,36.39358901977539,186.57339477539062,-2.215,-0.223,z_exit,11449.17
2017-10-13,2017-11-01,19,ShortTATA,53.313148498535156,231.8958740234375,53.04690170288086,241.66278076171875,2.116,0.036,z_exit,6084.13
2017-12-13,2017-12-20,7,ShortTATA,51.06317901611328,222.72227478027344,52.709407806396484,239.24388122558594,2.059,0.223,z_exit,1220.7
2018-01-31,2018-02-01,1,LongTATA,55.501338958740234,264.6653137207031,54.84796905517578,276.2577819824219,-2.081,-4.26,z_stop,-9191.73
2018-02-08,2018-02-09,1,LongTATA,52.85634994506836,277.672607421875,53.94662094116211,282.37353515625,-3.976,-3.509,z_stop,2100.02
2018-02-19,2018-05-11,81,LongTATA,51.07728958129883,276.30340576171875,47.80254364013672,295.5177917480469,-3.313,-0.337,z_exit,-24717.02
2018-05-23,2018-06-06,14,LongTATA,42.51258087158203,282.9668273925781,45.637752532958984,308.525146484375,-2.061,-0.322,z_exit,123.12
2018-07-18,2018-07-27,9,LongTATA,40.40185546875,273.1861572265625,44.083492279052734,298.1343994140625,-2.735,-0.402,z_exit,2899.87
2018-12-11,2018-12-17,6,LongTATA,40.12142562866211,277.5671081542969,41.98427963256836,276.55255126953125,-2.241,-0.452,z_exit,8533.55
2019-01-03,2019-01-31,28,LongTATA,38.55903625488281,260.6889343261719,38.19447708129883,253.26438903808594,-2.128,-0.435,z_exit,2111.56
2019-04-03,2019-04-25,22,ShortTATA,42.90167999267578,267.3756408691406,40.92265319824219,264.33203125,2.012,0.371,z_exit,6915.43
2019-08-13,2019-08-28,15,LongTATA,28.66912841796875,206.21572875976562,27.703075408935547,192.72720336914062,-2.432,-0.379,z_exit,2693.6
2019-09-20,2019-10-07,17,LongTATA,30.30113410949707,223.02963256835938,26.70413589477539,194.8347930908203,-2.251,-0.41,z_exit,-1165.56
2019-12-02,2019-12-17,15,LongTATA,34.60110092163086,251.1307830810547,36.126224517822266,242.5599822998047,-2.351,-0.287,z_exit,11039.1
2020-02-10,2020-02-27,17,LongTATA,36.48797607421875,260.3105163574219,33.939247131347656,236.14353942871094,-2.178,-0.204,z_exit,1302.1
2020-03-09,2020-03-16,7,LongTATA,26.498592376708984,214.5524444580078,23.810091018676758,174.22726440429688,-2.333,0.522,z_exit,9213.67
2020-03-23,2020-04-09,17,ShortTATA,22.293184280395508,135.26031494140625,23.41956329345703,155.774169921875,2.98,0.346,z_exit,5707.53
2020-09-11,2020-11-06,56,LongTATA,34.37191390991211,272.4374084472656,35.97453308105469,309.0242919921875,-2.034,-0.481,z_exit,-12341.03
2020-11-17,2021-01-27,71,ShortTATA,44.088829040527344,322.7502746582031,52.802001953125,356.1659851074219,3.008,0.466,z_exit,-21029.54
2021-03-19,2021-04-06,18,LongTATA,61.8272705078125,417.03369140625,72.77989196777344,508.76123046875,-2.007,-4.723,z_stop,-288.92
2021-04-20,2021-05-05,15,LongTATA,75.40734100341797,587.4727172851562,90.26528930664062,679.3896484375,-2.25,-0.431,z_exit,16700.36
2021-06-22,2021-07-29,37,ShortTATA,95.92011260986328,639.20556640625,125.78359985351562,715.377685546875,2.025,3.666,z_stop,-91914.98
2022-06-20,2022-07-29,39,LongTATA,78.29185485839844,526.0663452148438,97.7966537475586,620.4154052734375,-2.249,-0.416,z_exit,35874.85
2022-12-23,2023-01-02,10,LongTATA,92.93408966064453,717.2321166992188,108.3852310180664,763.9899291992188,-2.099,1.104,z_exit,42938.14
2023-01-19,2023-02-07,19,ShortTATA,112.29347229003906,748.96240234375,101.29588317871094,703.6827392578125,2.391,0.225,z_exit,24106.84
2023-08-29,2023-08-31,2,ShortTATA,112.20430755615234,774.4812622070312,115.34847259521484,771.5125732421875,2.302,3.916,z_stop,-15936.75
2023-09-07,2023-12-08,92,ShortTATA,122.15299224853516,810.7487182617188,121.2613754272461,830.5894165039062,3.224,-0.085,z_exit,13759.66
