entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,regime
2015-07-07,2015-07-15,6,ShortTCS-LongINFY,1.695,-0.356,reversion,1014.1,986.77,370.81,372.14,4099.02,529.46,209.29,4419.18,active
2015-07-21,2015-07-31,8,LongTCS-ShortINFY,-4.514,-0.3,reversion,994.97,975.29,420.79,407.33,-2951.25,5385.39,219.5,2214.64,active
2015-08-06,2015-08-12,4,ShortTCS-LongINFY,1.786,4.05,stop-loss,999.59,1037.81,411.07,432.8,-5733.5,8690.8,225.25,2732.04,active
2015-08-17,2015-08-19,2,ShortTCS-LongINFY,1.734,0.162,reversion,1042.88,1061.86,431.95,444.58,-2846.3,5052.59,233.32,1972.96,active
2015-08-26,2015-08-31,3,ShortTCS-LongINFY,2.977,-0.477,reversion,1000.93,996.0,402.62,413.89,740.0,4508.01,219.41,5028.6,active
2015-09-14,2015-09-30,10,LongTCS-ShortINFY,-1.925,-0.004,reversion,991.18,1005.32,415.91,439.44,2121.0,-9409.31,224.2,-7512.51,active
2015-10-01,2015-10-05,1,ShortTCS-LongINFY,2.622,4.363,stop-loss,1027.29,1053.33,443.63,446.92,-3906.79,1316.04,233.78,-2824.53,active
2015-10-14,2015-11-04,14,LongTCS-ShortINFY,-2.16,-0.425,reversion,964.79,986.39,415.1,433.88,3240.87,-7511.55,221.08,-4491.76,active
2015-11-13,2015-11-17,2,LongTCS-ShortINFY,-2.92,-0.155,reversion,933.29,930.63,420.14,405.14,-400.01,5999.82,213.67,5386.13,active
2015-11-18,2015-11-19,1,ShortTCS-LongINFY,1.604,-0.291,reversion,915.4,919.73,389.3,399.91,-648.21,4244.13,207.01,3388.9,active
2015-11-26,2015-12-02,4,LongTCS-ShortINFY,-1.525,-0.471,reversion,913.11,920.76,401.67,404.83,1147.43,-1267.14,209.18,-328.89,active
2015-12-09,2015-12-10,1,ShortTCS-LongINFY,1.69,1.124,regime-break,921.71,928.29,392.43,399.74,-986.88,2923.58,208.13,1728.58,active
2016-04-13,2016-04-18,1,ShortTCS-LongINFY,2.889,-0.169,reversion,985.81,983.29,447.58,472.77,377.64,10075.96,232.75,10220.85,active
2016-04-20,2016-05-03,9,LongTCS-ShortINFY,-1.848,-0.321,reversion,956.21,967.04,474.64,449.53,1624.32,10045.37,230.94,11438.76,active
2016-05-12,2016-05-17,3,ShortTCS-LongINFY,2.099,1.849,regime-break,1001.42,1002.98,461.82,463.44,-234.08,648.79,234.79,179.92,active
2016-07-15,2016-08-01,11,ShortTCS-LongINFY,8.933,3.515,stop-loss,964.16,1070.59,414.12,419.03,-15963.58,1961.46,222.76,-14224.89,active
2016-08-12,2016-08-16,1,ShortTCS-LongINFY,1.542,0.132,reversion,1082.52,1064.04,410.26,406.11,2772.07,-1660.25,227.04,884.77,active
2017-01-23,2017-01-25,2,ShortTCS-LongINFY,1.537,3.481,stop-loss,916.91,935.31,371.79,365.51,-2760.56,-2513.24,200.2,-5474.01,active
2017-01-31,2017-02-08,6,LongTCS-ShortINFY,-1.687,0.245,reversion,886.34,902.69,362.39,365.47,2453.56,-1233.17,195.89,1024.51,active
2017-02-10,2017-02-15,3,ShortTCS-LongINFY,2.151,0.412,reversion,953.18,959.44,377.88,383.15,-939.1,2107.39,207.01,961.27,active
2017-03-01,2017-03-02,1,LongTCS-ShortINFY,-1.59,-0.316,reversion,985.61,994.32,400.07,399.34,1305.71,288.82,215.94,1378.58,active
2017-03-06,2017-03-16,7,LongTCS-ShortINFY,-2.299,0.169,reversion,982.81,1002.05,403.48,401.51,2885.85,788.33,217.09,3457.09,active
2017-03-23,2017-04-07,10,LongTCS-ShortINFY,-2.373,0.093,reversion,977.98,965.54,406.04,383.05,-1866.27,9194.31,212.87,7115.17,active
2018-02-28,2018-03-06,3,LongTCS-ShortINFY,-1.975,-0.138,reversion,1229.59,1232.73,471.11,462.57,471.02,3414.97,260.18,3625.81,active
2018-03-13,2018-03-14,1,LongTCS-ShortINFY,-5.617,-3.042,stop-loss,1169.53,1169.57,475.61,474.4,6.1,482.15,255.83,232.42,active
2018-03-19,2018-03-27,6,LongTCS-ShortINFY,-2.136,-1.28,regime-break,1146.92,1153.69,460.72,463.64,1014.88,-1165.15,250.18,-400.45,active
2018-09-28,2018-10-01,1,ShortTCS-LongINFY,2.164,3.569,stop-loss,1787.68,1846.5,601.0,614.66,-8822.96,5466.28,360.82,-3717.49,active
2018-10-12,2018-10-22,5,LongTCS-ShortINFY,-1.758,-0.411,reversion,1570.41,1557.88,558.81,559.75,-1878.75,-378.74,320.72,-2578.21,active
2018-10-24,2018-10-30,4,ShortTCS-LongINFY,1.519,0.188,reversion,1516.45,1554.44,534.93,548.91,-5697.53,5592.36,312.95,-418.12,active
2018-11-20,2018-11-22,2,ShortTCS-LongINFY,1.513,0.482,reversion,1540.86,1486.96,533.77,516.58,8084.69,-6873.93,306.07,904.7,active
