symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
BALRAMCHIN,2005-03-24,2005-04-27,51.1425323008861,44.8917802642923,195,-1218.8966471357908,-12.222218485034809,trail_stop
ICICIBANK,2005-04-05,2005-04-29,58.65541869698388,51.63921948526675,170,-1192.7538659919119,-11.96172385702859,trail_stop
LICHSGFIN,2005-04-27,2005-05-26,37.25455801591153,31.18203015154268,268,-1627.4374676508505,-16.300093700682883,trail_stop
KEC,2005-04-04,2005-05-30,32.67679439906235,33.8320394459766,306,353.504984355759,3.535368349801762,trail_stop
POONAWALLA,2005-04-15,2005-06-10,12.446674787735539,15.741891446788031,803,2646.0589772191506,26.474674684193307,trail_stop
BEML,2005-04-04,2005-06-16,140.70404196181232,209.716053939507,71,4899.852850416322,49.04764000768708,trail_stop
CGPOWER,2005-04-01,2005-06-17,1.1826877383634808,1.2729488825461044,8455,763.1579740640827,7.631866066990817,trail_stop
CEMPRO,2005-04-04,2005-06-17,34.41365853004753,32.204227447509766,290,-640.7350139359514,-6.420215626329434,trail_stop
UNITDSPR,2005-04-06,2005-06-17,54.36351775031322,54.19105066936477,183,-31.561475813567085,-0.3172478310557089,trail_stop
SPLPETRO,2005-04-21,2005-06-17,10.67528623565277,9.998975116474458,936,-633.0272075509001,-6.335297286171149,trail_stop
SAREGAMA,2005-04-26,2005-06-17,11.36250173122142,10.098115800319425,880,-1112.6596191937551,-11.127707267386073,trail_stop
AEGISLOG,2005-05-13,2005-06-17,3.907818293072107,3.5428025807962964,2558,-933.710192001523,-9.340652120978111,trail_stop
GODREJIND,2005-05-13,2005-06-17,24.98659462069726,31.469939909792032,400,2593.338115637909,25.94729448935948,trail_stop
INDIACEM,2005-04-05,2005-06-20,61.02283418948928,60.18860881843433,163,-135.9787354819564,-1.3670708385397088,trail_stop
BEL,2005-04-25,2005-06-20,5.716736741709367,5.177421210490056,1749,-943.2628641025749,-9.433975283214629,trail_stop
DCMSHRIRAM,2005-05-12,2005-06-20,38.36493236452227,35.704613370742415,260,-691.6829383827626,-6.9342465366626564,trail_stop
CUB,2005-05-23,2005-06-20,3.2376187698081647,2.953908706414735,3088,-876.0966757589104,-8.762923727744509,trail_stop
ASAHIINDIA,2005-05-26,2005-06-20,92.20365998589729,89.83802437280558,108,-255.48864621390385,-2.565663460055198,trail_stop
EICHERMOT,2005-05-26,2005-06-20,28.18488520260686,23.27576937399695,354,-1737.8270033279077,-17.417547715098934,trail_stop
VOLTAS,2005-04-26,2005-06-21,1.5712808850168012,1.5589574004880908,6364,-78.42665554071209,-0.7842954525968467,trail_stop
CANFINHOME,2005-06-09,2005-06-21,6.6945771096770805,6.14982321267306,1493,-813.317568227003,-8.137241353401894,trail_stop
JUBLPHARMA,2005-04-04,2005-06-22,19.523592470997038,19.373165438755038,512,-77.01864050790391,-0.7704884870213529,trail_stop
RKFORGE,2005-05-17,2005-06-22,12.875479914955553,12.114972676838637,776,-590.1536167787272,-5.906632165481823,trail_stop
BLUESTARCO,2005-05-11,2005-06-23,22.329189210426744,21.996467850371165,447,-148.72644794484404,-1.490073629275412,trail_stop
ENGINERSIN,2005-05-13,2005-06-24,18.953447710384708,17.708339381265397,527,-656.1720894458776,-6.569297302237577,trail_stop
JKTYRE,2005-04-07,2005-06-28,16.972476411505287,13.872842742611985,589,-1825.684230978156,-18.26270718392118,trail_stop
KIRLOSENG,2005-04-26,2005-06-28,69.7039722339527,89.30822249284878,143,2803.407787022141,28.125011574802176,trail_stop
PCBL,2005-05-17,2005-06-28,5.758498163675882,5.4580540073280535,1736,-521.5710554198304,-5.217404743532,trail_stop
IOB,2005-06-09,2005-06-29,63.37247276860319,54.75086452071443,157,-1353.5924949185337,-13.604658097167038,trail_stop
PATANJALI,2005-05-30,2005-07-07,1713.598950262492,1517.8462349578053,5,-978.7635765234336,-11.42348478182138,trail_stop
CHOLAHLDNG,2005-06-02,2005-07-07,30.0497629426616,29.127261369696285,332,-306.27052222448583,-3.069912979764791,trail_stop
HCLTECH,2005-04-04,2005-07-14,27.457667408027206,26.411076957603253,364,-380.9589239543184,-3.811650985757015,trail_stop
COLPAL,2005-05-10,2005-07-29,70.59624877149383,74.12691153762775,141,497.8234500248818,5.001204493969608,trail_stop
GILLETTE,2005-06-10,2005-07-29,541.7566355941044,513.2024777742089,18,-513.9748407581192,-5.270661389976752,trail_stop
JSL,2005-06-10,2005-07-29,98.93615187409043,108.51060843097977,101,967.0201122458238,9.677409496453967,trail_stop
AJANTPHARM,2005-05-17,2005-08-01,5.565694650353729,5.847413303908882,1796,505.9667017850552,5.061697977578568,trail_stop
BBTC,2005-07-08,2005-08-08,41.68584228990146,37.824413076998276,239,-922.8815818838611,-9.263167062930211,trail_stop
IDBI,2005-06-03,2005-08-09,73.83973606211337,75.07865685271094,135,167.25430673067058,1.677851055095037,trail_stop
BAJAJ-AUTO,2005-05-13,2005-08-23,176.8043681884758,210.76779079919052,56,1901.9516662000242,19.209606051423606,trail_stop
JBCHEPHARM,2005-05-17,2005-08-23,23.790069578632465,22.111788019218235,420,-704.8782549539774,-7.05454666228305,trail_stop
TITAN,2005-05-20,2005-08-23,12.949449336502985,20.406207761119905,772,5756.617503804262,57.58359472164726,trail_stop
ASHOKLEY,2005-06-09,2005-08-23,3.9891469063761598,4.119219358947811,2506,325.9615661445587,3.260658371937788,trail_stop
BHARATFORG,2005-06-10,2005-08-23,120.12364151612061,123.57066441610738,83,286.1029006989029,2.8695624412320124,trail_stop
BAJAJFINSV,2005-05-13,2005-08-24,1120.8131945338023,1318.545712505335,8,1581.860143772261,17.641879925742547,trail_stop
BAJAJHLDNG,2005-05-13,2005-08-24,709.2498630817128,850.3499302002749,14,1975.4009396598703,19.894267798019442,trail_stop
TATACOMM,2005-06-08,2005-08-24,100.40644304100121,158.3486562916512,99,5736.279111814349,57.70766446431046,trail_stop
CANBK,2005-06-24,2005-08-24,25.512084056594244,26.386393391896256,391,341.8549501030866,3.4270400386048596,trail_stop
ICICIBANK,2005-06-15,2005-08-29,60.900598481138054,67.15671807042499,164,1026.0036126430568,10.272673414243307,trail_stop
BAJFINANCE,2005-04-13,2005-09-08,1.329717011586716,2.17755850510849,7520,6375.76803128374,63.76104736075138,trail_stop
FACT,2005-06-06,2005-09-21,32.791790688614086,31.39639370500549,304,-424.20068301701394,-4.255324135418765,trail_stop
TATAELXSI,2005-04-04,2005-09-22,61.375001988893224,65.50790691416354,162,669.5305978937922,6.733857093834779,trail_stop
SONATSOFTW,2005-04-05,2005-09-22,4.79783017875748,4.6294421639139625,2084,-350.9206229338906,-3.5096701752608914,trail_stop
CHOLAFIN,2005-04-13,2005-09-22,15.884131473575865,22.463534051050686,629,4138.444221231663,41.421229661942945,trail_stop
INDUSINDBK,2005-05-20,2005-09-22,53.08034169016366,61.353084083731176,188,1555.2755699906938,15.585322419091636,trail_stop
CUMMINSIND,2005-06-07,2005-09-22,62.56408905783687,66.63995664816076,159,648.0629468614989,6.514707800757699,trail_stop
MAHABANK,2005-06-09,2005-09-22,21.594962530873776,20.622651968368853,463,-450.17979043978085,-4.502487842314327,trail_stop
BERGEPAINT,2005-06-15,2005-09-22,9.250240325603217,8.902756690979004,1081,-375.6298090287746,-3.756482236060754,trail_stop
HFCL,2005-06-15,2005-09-22,21.957560713679797,19.894436494849188,455,-938.7215195679273,-9.395962719780893,trail_stop
POONAWALLA,2005-06-20,2005-09-22,19.229415428561683,26.45958681426045,520,3759.68912056336,37.59953812719501,trail_stop
ITI,2005-06-24,2005-09-22,30.899999618530273,59.0,323,9076.300123214722,90.9385136840538,trail_stop
IGL,2005-08-24,2005-09-22,8.564207384784503,7.939270249795949,1167,-729.3016365316416,-7.297080826170095,trail_stop
HONAUT,2005-08-29,2005-09-22,826.5452319536577,774.7800694678975,12,-621.1819498291225,-6.262834807407436,trail_stop
FINCABLES,2005-04-22,2005-09-23,31.106279997857897,41.778389739464416,321,3425.747227055692,34.308537511851114,trail_stop
ARE&M,2005-04-29,2005-09-23,5.970219824001425,7.823776379334729,1674,3102.853673627951,31.046705313624344,trail_stop
GLAXO,2005-07-01,2005-09-23,247.84779982861727,266.55902864093537,40,748.4491524927234,7.54948352386287,trail_stop
IFCI,2005-06-06,2005-09-29,12.25453593313082,12.41472578048706,816,130.71491544269338,1.3071881973364632,trail_stop
3MINDIA,2005-05-17,2005-10-10,695.8227142671108,747.8469700035505,14,728.3395803101575,7.476653847271344,trail_stop
TATACONSUM,2005-06-01,2005-10-10,41.23223845941587,59.64326215638753,242,4455.467734667143,44.652011107990894,trail_stop
ATUL,2005-05-30,2005-10-13,68.62646797571664,80.52043246610262,145,1724.6248511059675,17.331453652247763,trail_stop
NCC,2005-04-01,2005-10-14,27.73070165568742,52.558560696142685,360,8938.029254563897,89.5320260869173,trail_stop
KARURVYSYA,2005-06-27,2005-10-14,8.121217597305728,9.298299220088362,1231,1448.9874776454217,14.49390573124329,trail_stop
ACC,2005-08-31,2005-10-14,340.03431682069,319.47139060965554,29,-596.3248601199994,-6.047309107885687,trail_stop
ICICIBANK,2005-09-28,2005-10-14,84.80176377244197,73.43303766231965,117,-1330.140954884313,-13.406237800229373,trail_stop
SRF,2005-04-08,2005-10-17,12.195278041785555,32.524849828572414,819,16649.919293378436,166.7003549827252,trail_stop
ITC,2005-04-15,2005-10-17,16.30565743701525,22.0207809742351,613,3503.370728315769,35.049942385309954,trail_stop
ELGIEQUIP,2005-05-12,2005-10-17,10.21975099361805,10.376879611391354,978,153.6717881822933,1.537499474022689,trail_stop
OFSS,2005-05-24,2005-10-17,379.71415711517017,474.02371835823607,26,2452.048592319714,24.836988422968155,trail_stop
AUROPHARMA,2005-06-06,2005-10-17,29.048614168821786,29.088913563161455,344,13.862991652846176,0.13873086717824534,trail_stop
TTML,2005-07-05,2005-10-17,25.306926727294922,22.942956924438477,395,-933.7680721282959,-9.34119669421089,trail_stop
INDIACEM,2005-08-31,2005-10-17,94.26629086844223,77.66542384321811,106,-1759.6919046737567,-17.610608068150515,trail_stop
BHARTIARTL,2005-09-09,2005-10-17,137.89564307950658,133.27704543154547,72,-332.539030653199,-3.3493426948218734,trail_stop
JINDALSAW,2005-04-21,2005-10-18,23.027790771987494,26.828493548780784,434,1649.5050051282888,16.504851960947615,trail_stop
AMBUJACEM,2005-06-01,2005-10-18,41.61875218152242,45.594637804189524,240,954.2125494401043,9.553111071965981,trail_stop
NTPC,2005-08-02,2005-10-18,43.475683798053275,43.987384440438944,230,117.69114774870468,1.1769812402780082,trail_stop
APOLLOHOSP,2005-04-05,2005-10-19,165.99446983229944,185.93889129997774,60,1196.665288060698,12.01511200212134,trail_stop
ABREL,2005-04-22,2005-10-19,219.4432297066038,249.02549475147933,45,1331.2019270193996,13.480600465289868,trail_stop
ZEEL,2005-05-13,2005-10-19,39.68655349423623,42.94945928873695,251,818.9893544196802,8.221690994090977,trail_stop
RADICO,2005-06-02,2005-10-19,328.01786953436874,552.7373673020895,30,6741.584933031621,68.50830964993364,trail_stop
SHRIRAMFIN,2005-06-07,2005-10-19,9.179844383174437,15.762601514206722,1089,7168.622515694156,71.70880960790244,trail_stop
ONGC,2005-07-01,2005-10-19,46.40725629082843,44.14167508734122,215,-487.09995874974993,-4.881954643664122,trail_stop
BANKINDIA,2005-08-01,2005-10-19,95.34935653342201,72.78781531018605,104,-2346.40028721654,-23.661975333129444,trail_stop
CHAMBLFERT,2005-09-01,2005-10-19,21.382502560144015,19.32948988569256,467,-958.7569189688293,-9.601367607354689,trail_stop
JINDALSTEL,2005-09-30,2005-10-19,45.669276337106226,41.165769496530906,218,-981.7644912454198,-9.861130286656692,trail_stop
SUNPHARMA,2005-04-29,2005-10-20,41.027190534533936,49.53547795866397,243,2067.5138440635983,20.738167330683606,trail_stop
DEEPAKFERT,2005-05-17,2005-10-20,38.72369408618752,43.3523154054487,258,1194.184300369383,11.95294361369354,trail_stop
TATACHEM,2005-05-27,2005-10-20,24.345127208761316,27.078944824066788,410,1120.8652222752444,11.229424236985004,trail_stop
COFORGE,2005-06-09,2005-10-20,13.457362188064053,13.493054711828986,743,26.51954515734542,0.2652267455251416,trail_stop
BRITANNIA,2005-07-05,2005-10-20,67.04132805325277,86.02969795078734,149,2829.267114732651,28.323379695658158,trail_stop
TATAPOWER,2005-07-05,2005-10-20,28.91780325081179,27.267709330610213,345,-569.2824024695437,-5.706152386091963,trail_stop
CCL,2005-08-10,2005-10-20,29.549833181689174,28.500204454445587,338,-354.77450980833237,-3.5520631226236463,trail_stop
MRF,2005-08-24,2005-10-20,2965.4054042982743,2689.511881125527,3,-827.6805695182411,-9.303737113746637,trail_stop
