symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
TRIDENT,2009-04-16,2009-05-14,0.6635220643466521,0.563993746337985,15071,-1499.9912807086203,-15.00000125944104,trail_stop
KIRLOSENG,2009-04-16,2009-05-25,45.23497349221073,63.82270952203011,221,4107.889662590083,41.09151524764375,trail_stop
SUNPHARMA,2009-04-16,2009-05-29,106.98710768756095,108.31234073157479,93,123.24667309328652,1.2386848029240762,trail_stop
IIFL,2009-04-16,2009-06-17,27.718217917885823,37.91341721543176,360,3670.271747116536,36.78158288440053,trail_stop
RELIANCE,2009-04-16,2009-06-17,182.01582540100668,206.82927729670965,54,1339.9264023679589,13.632579387553465,trail_stop
AEGISLOG,2009-04-16,2009-06-18,4.751621645456382,4.883304292116411,2104,277.0602885727003,2.7713201194364214,trail_stop
APARINDS,2009-04-16,2009-06-18,73.08828316918435,89.86264491363191,136,2281.313197244868,22.950821960913164,trail_stop
CUB,2009-04-16,2009-06-18,6.294392888482572,8.380112181058726,1588,3312.1222366109323,33.136147195269395,trail_stop
DLF,2009-04-16,2009-06-18,219.94737344611286,275.3604611766582,45,2493.5889478745394,25.193793798188512,trail_stop
EIDPARRY,2009-04-16,2009-06-18,70.27410054741918,95.84829327616832,142,3631.535367482378,36.392059847841566,trail_stop
ELECON,2009-04-16,2009-06-18,17.139260080382797,28.618582570241557,583,6692.445011587657,66.97676816864299,trail_stop
FINCABLES,2009-04-16,2009-06-18,22.461747786578012,26.787715769370525,445,1925.0557523426687,19.259267016511913,trail_stop
GMDCLTD,2009-04-16,2009-06-18,39.56953473321384,50.94415953743134,252,2866.405450662809,28.745914959343388,trail_stop
GRAPHITE,2009-04-16,2009-06-18,20.881898067167537,23.637147910024574,478,1317.009424885664,13.194441587611703,trail_stop
SRF,2009-04-16,2009-06-18,13.398148864588904,14.711833130723917,746,980.0084625367181,9.80496842819128,trail_stop
ANANTRAJ,2009-04-16,2009-06-19,27.067938090069102,35.36877436919457,369,3063.0085869972972,30.666673802431017,trail_stop
ABREL,2009-04-16,2009-06-22,211.87627778012276,319.30281600146174,47,5049.047296402932,50.702485123333254,trail_stop
BSOFT,2009-04-16,2009-06-22,9.554876960769857,10.762690509067445,1046,1263.3729715192785,12.640806922544332,trail_stop
GALLANTT,2009-04-16,2009-06-22,13.866441647925374,15.046563418297708,721,850.8677964384533,8.510631641023048,trail_stop
SAREGAMA,2009-04-16,2009-06-22,6.133127620250938,6.690293788909912,1630,908.1808549141278,9.084535707674995,trail_stop
TECHNOE,2009-04-16,2009-06-22,88.40298754274063,108.83293546245227,113,2308.5841149274165,23.110019794109654,trail_stop
BRIGADE,2009-04-16,2009-06-23,22.800513702222084,30.74988439649556,438,3481.8243640917826,34.86487540628854,trail_stop
ITI,2009-04-16,2009-06-23,28.799999237060547,37.29999923706055,347,2949.5,29.513889670739964,trail_stop
JMFINANCIL,2009-04-16,2009-06-23,18.794480267693014,29.53417793272518,532,5713.519157797111,57.14282870324053,trail_stop
KOTAKBANK,2009-04-16,2009-06-23,21.59150176498365,29.458649228803175,463,3642.4892757484395,36.436314386330416,trail_stop
TIMKEN,2009-04-16,2009-06-23,62.11828212183877,66.31326855712469,160,671.1978296457473,6.753223514870996,trail_stop
BHARATFORG,2009-04-16,2009-06-24,59.03502582506096,65.83509222965861,169,1149.2112223770018,11.518698111098221,trail_stop
