symbol,entry_date,exit_date,entry_price,exit_price,shares,position_size,pnl,return_pct
TRIDENT,2009-04-16,2009-05-14,0.6635220643466521,0.563993746337985,15071,9999.941031768392,-1499.9912807086203,-15.00000125944104
KIRLOSENG,2009-04-16,2009-05-25,45.23497349221073,63.82270952203011,221,9996.929141778572,4107.889662590083,41.09151524764375
SUNPHARMA,2009-04-16,2009-05-29,106.98710768756095,108.31234073157479,93,9949.801014943168,123.24667309328652,1.2386848029240762
IIFL,2009-04-16,2009-06-17,27.718217917885823,37.91341721543176,360,9978.558450438897,3670.271747116536,36.78158288440053
RELIANCE,2009-04-16,2009-06-17,182.01582540100668,206.82927729670965,54,9828.854571654361,1339.9264023679589,13.632579387553465
AEGISLOG,2009-04-16,2009-06-18,4.751621645456382,4.883304292116411,2104,9997.411942040228,277.0602885727003,2.7713201194364214
APARINDS,2009-04-16,2009-06-18,73.08828316918435,89.86264491363191,136,9940.00651100907,2281.313197244868,22.950821960913164
CUB,2009-04-16,2009-06-18,6.294392888482572,8.380112181058726,1588,9995.495906910324,3312.1222366109323,33.136147195269395
DLF,2009-04-16,2009-06-18,219.94737344611286,275.3604611766582,45,9897.63180507508,2493.5889478745394,25.193793798188512
EIDPARRY,2009-04-16,2009-06-18,70.27410054741918,95.84829327616832,142,9978.922277733524,3631.535367482378,36.392059847841566
ELECON,2009-04-16,2009-06-18,17.139260080382797,28.618582570241557,583,9992.188626863172,6692.445011587657,66.97676816864299
FINCABLES,2009-04-16,2009-06-18,22.461747786578012,26.787715769370525,445,9995.477765027215,1925.0557523426687,19.259267016511913
GMDCLTD,2009-04-16,2009-06-18,39.56953473321384,50.94415953743134,252,9971.522752769888,2866.405450662809,28.745914959343388
GRAPHITE,2009-04-16,2009-06-18,20.881898067167537,23.637147910024574,478,9981.547276106083,1317.009424885664,13.194441587611703
SRF,2009-04-16,2009-06-18,13.398148864588904,14.711833130723917,746,9995.019052983323,980.0084625367181,9.80496842819128
ANANTRAJ,2009-04-16,2009-06-19,27.067938090069102,35.36877436919457,369,9988.069155235498,3063.0085869972972,30.666673802431017
ABREL,2009-04-16,2009-06-22,211.87627778012276,319.30281600146174,47,9958.18505566577,5049.047296402932,50.702485123333254
BSOFT,2009-04-16,2009-06-22,9.554876960769857,10.762690509067445,1046,9994.40130096527,1263.3729715192785,12.640806922544332
GALLANTT,2009-04-16,2009-06-22,13.866441647925374,15.046563418297708,721,9997.704428154195,850.8677964384533,8.510631641023048
SAREGAMA,2009-04-16,2009-06-22,6.133127620250938,6.690293788909912,1630,9996.998021009029,908.1808549141278,9.084535707674995
TECHNOE,2009-04-16,2009-06-22,88.40298754274063,108.83293546245227,113,9989.53759232969,2308.5841149274165,23.110019794109654
BRIGADE,2009-04-16,2009-06-23,22.800513702222084,30.74988439649556,438,9986.625001573273,3481.8243640917826,34.86487540628854
ITI,2009-04-16,2009-06-23,28.799999237060547,37.29999923706055,347,9993.59973526001,2949.5,29.513889670739964
JMFINANCIL,2009-04-16,2009-06-23,18.794480267693014,29.53417793272518,532,9998.663502412684,5713.519157797111,57.14282870324053
KOTAKBANK,2009-04-16,2009-06-23,21.59150176498365,29.458649228803175,463,9996.86531718743,3642.4892757484395,36.436314386330416
TIMKEN,2009-04-16,2009-06-23,62.11828212183877,66.31326855712469,160,9938.925139494202,671.1978296457473,6.753223514870996
